DLL Identifier (Author),Authorized Name,Language,Variant
G63459,"Cassius, Dionysius 89/92",Greek,كاسيوس ديونيسيوس
G89326,Josephus et Aseneth,Greek,Joseph et Aséneth
G13846,Apollonius Tarsensis v2. Jh.,Greek,Apollonius
G13880,"Aristarchus, Aristus ca. 2.Jh.n.Chr",Greek,Aristarchus
G14120,Damippus Philosophus v3. Jh.,Greek,Damippus Philosophus v3. Jh.
G14203,Dorotheus Heliopolitanus ca. 1.Jh.n.Chr.,Greek,Dorotheus Heliopolitanus ca. 1. Jh.
G14257,Eurytus Lacedaemonius Person der Antike,Greek,Eurytus Lacedaemonius
G14288,Harpocras Alexandrinus 1./2. Jh.,Greek,Harpocras Alexandrinus 1./2. Jh.
G14328,Hermophilus Medicus ca. 2.Jh.n.Chr.,Greek,Hermophilus Medicus ca. 2. Jh.
G14392,Marinus Medicus 2. Jh,Greek,Marinos
G14584,Pyrrho Liparaeus ca. 2.Jh.n.Chr.,Greek,Pyrrho Liparaeus ca. 2. Jh.
G14647,Theodorus Macedo 1. Jh.,Greek,Theodorus Macedo 1. Jh.
G14652,Theophilus Grammaticus v3. Jh.,Greek,Theophilus Grammaticus v3. Jh.
G56169,Glaucus Historicus v2. Jh. / 3. Jh,Greek,Glauc
G89689,Sophia Jesu Christi,Greek,Bible
G12634,Paraleipomena Jeremiou,Greek,Paralipomena Jeremiae
G98537,Vitae Prophetarum,Greek,Vitae prophetarum
G15788,Assumption of Moses,Greek,Assumption of Moses
G19636,Martyrium Perpetuae et Felicitatis,Greek,Passio ss. Perpetuae et Felicitatis
G00193,Res gestae divi Augusti,Greek,Res gestae divi Augusti
G22127,Testaments of the Twelve Patriarchs,Greek,Testaments of the twelve patriarchs
G25222,Greek Apocalypse of Baruch,Greek,Greek Apocalypse of Baruch
G34949,Acta Joannis,Greek,Acta Joannis
G38854,Evangelium Evae,Greek,Evangelium Evae
G24015,"Didymus, Claudius ca. 1.Jh",Greek,Didymus
G59031,Testament of Abraham,Greek,Testament of Abraham
G70389,Evangelium Mariae,Greek,Evangelium Mariae
G49997,Apocryphon of Ezechiel,Greek,Bible
G78886,Evangelium Philippi,Greek,Evangelium Philippi
G67455,Acta Philippi,Greek,Acta Philippi
G05416,Apocalypse of Peter ,Greek,Apokalypse des Petrus
G15487,Barnabae epistula,Greek,Epistle of Barnabas
G90833,Epistula ecclesiarum apud Lugdunum et Viennam ,Greek,Epistula ecclesiarum apud Lugdunum et Viennam
G66789,Evangelium Bartholomaei,Greek,Evangelium Bartholomaei
G39886,Stratonicus Atheniensis ca. v5./4. Jh.,Greek,Stratonicus Atheniensis ca. v5./4. Jh.
G27600,"Aristides, Aelius 117-187 | Scholia in orationes",Greek,Aristides
G08322,Aristophanes v445-v385 | Scholia,Greek,Aristophanes v445-v385
G79898,"Romanus, Melodus, Saint, active 6th century",Greek,Romanus
G68820,Artemidorus Ascalonius ca. 1.Jh.n.Chr.,Greek,Ἀρτεμίδωρος
G69165,Diagoras Cyprius v3. Jh,Greek,Diagoras Cyprius v3. Jh.
G69235,Eccelus Philosophus v3./2. Jh.,Greek,Eccelus Philosophus v3./2. Jh.
G69257,"Ephraem, Chersonensis",Greek,Ephraem Chersonensis
G69430,"Magnus, Medicus 4. Jh. n. Chr.",Greek,Magnus Medicus 4. Jh. n. Chr
G69448,Magnus Archiatrus 2. Jh.,Greek,Magnus Archiatrus 2. Jh.
G69469,"Menecrates, Tiberius Claudius",Greek,Tiberi Claudi Quirina Menècrates
G69578,Philippus Medicus 2. Jh.,Greek,Philippus Medicus 2. Jh.
G69584,Philonides Dyrrachinus 1. Jh.,Greek,Filonides de Dirràquium
G69668,Severus Medicus ,Greek,Severus Medicus 1. Jh.
G69725,Theodotus Iudaeus ca. 1.Jh.v.Chr.,Greek,Theodotus Iudaeus ca. 1.Jh.v.Chr.
G69804,Zeno Medicus v2. Jh,Greek,Zeno Medicus v2. Jh.
G33539,Apocalypsis Sophoniae‏,Greek,Apocalypsis Sophoniae
G77757,"Titus, of Bostra, Bishop of Bostra, active approximately 362-378",Greek,Titus de Bostra
G07801,Dissoi logoi,Greek,Dissoi logoi
G34715,Acta Justini et Septem Sodalium,Greek,Acta Iustini et septem sodalium
G85304,"Phileas, Saint, Bishop of Thmuis, -306",Greek,Φιλέας Θμούεως
G62421,Antiochus Ascalonius v120-v68,Greek,Antiochus Ascalonius v120-v68
G89758,"Hermarchus, of Mytilene",Greek,Hermarchus
G11830,Hesiodus ca. v8./7. Jh. | Aegimius,Greek,Hesiodus ca. v8./7. Jh.
G05522,Acta Scillitanorum Martyrum,Greek,Acta Scillitanorum martyrum
G15918,Physiologus Graecus,Greek,Physiologus (Griechisch)
G01559,"Ptolemy, the Gnostic, active 2nd century",Greek,Ptolémée le gnostique
G30559,Martyrium Ptolemaei et Lucii ,Greek,Martyrium Ptolemaei et Lucii
G35861,Socraticorum Epistulae,Greek,Socraticorum epistulae 1-7
G68686,Evangelium Ebionitum,Greek,Bible
G71275,Hippiatrica,Greek,Hippiatrica€́
G16649,"Simon, Magus, active 1st century",Greek,Σίμων ὁ μάγος
G27937,Dionysius Scymnaeus Person der Antike;,Greek,Dionysius Scymnaeus Person der Antike
G27959,Dorieus Poeta,Greek,Dorieus Poeta ca. 2. Jh.
G28058,Heraclides Milesius 1./2. Jh.,Greek,Heraclides Milesius 1./2. Jh.
G28070,Hypsicrates Amisenus v2. Jh. / 1. Jh.,Greek,Hypsicrates Amisenus v2. Jh. / 1. Jh.
G28101,Magnus Ephesius 1./2. Jh.,Greek,Magne d'Efes
G28252,Perigenes Medicus,Greek,Perigenes Medicus v1. Jh.
G28494,Xenophon Medicus v300,Greek,Xenofont
G37490,"Cyril, Saint, Bishop of Jerusalem, approximately 315-386",Greek,كيرلس الأورشليمي، حو. 315-386 القديس،
G45851,Quadratus Atheniensis -124,Greek,Quadratus Atheniensis
G90054,Aphrodas Medicus ca. 1.Jh.n.Chr.,Greek,Aphrodas Medicus ca. 1. Jh.
G90096,Apollonius Pergamenus 1. Jh.,Greek,Apollonius Pergamenus 1. Jh.
G90134,Artemidorus Capito 2. Jh.,Greek,Ἀρτεμίδωρος ὁ Καπίτων
G90201,Creophylus Samius v5. Jh.,Greek,Κρεώφυλος ο Σάμιος Αρχαίος Έλληνας επικός ποιητής
G90217,Anonymus Paradoxographus,Greek,Anonymus Paradoxographus 2. Jh.
G90446,Euschemus Medicus ca. 2.Jh.n.Chr,Greek,Euschemus Medicus ca. 2. Jh.
G90467,Habron Phrygius 1. Jh.,Greek,Habron Phrygius 1. Jh.
G90498,Hygienus Medicus 1./2. Jh.,Greek,Hygienus Medicus 1./2. Jh.
G90825,Ripalus Medicus ca. 2.Jh.n.Chr.,Greek,Ripalus Medicus ca. 2. Jh.
G50834,"Xenarchus (Of Seleucia), 75 B.C.-18 A.D",Greek,Xenarchus (Of Seleucia)
G95398,Septem Sapientes,Greek,Septem Sapientes
G26432,"Peter, of Alexandria, Saint, d. 311",Greek,Pierre d'Alexandrie
G28054,"Artemidorus, active 100 B.C.",Greek,Artemidorus
G66777,Diocles (Mathematician),Greek,Διοκλής ο Αλεξανδρεύς
G71855,"Mithridates VI Eupator, King of Pontus, approximately 132 B.C.-63 B.C",Greek,Mithridate VI
G75907,"Didymus, the Blind, approximately 313-approximately 398",Greek,Didymus
G55657,"Firmus, of Caesarea, Bishop of Caesarea, active 5th century",Greek,Firmus Caesariensis
G64378,"Asterius, of Amasea, Saint, approximately 350-approximately 410",Greek,Asterius
G11738,"Hegesippus, Palaestinus, ca. 110-ca. 180",Greek,Hegesippus
G32892,Rhodo Scr. Eccl.,Greek,رودو كاتب من روما القديمه
G55158,Aristonymus Historicus,Greek,Aristonymus Historicus
G55189,Asclepiades Philosophus,Greek,Asclepiades Philosophus v4. Jh.
G55221,"Clemens, Flavius ca. 1.Jh.n.Chr",Greek,Clemens
G55428,"Damigeron, active 2nd century B.C",Greek,Damigeron
G55444,Diophantus Lycius ca. 1.Jh.n.Chr.,Greek,Diophantus Lycius ca. 1. Jh.
G55459,Dorotheus Atheniensis ca. 1.Jh.n.Chr,Greek,Dorotheus Atheniensis ca. 1. Jh.
G55574,Lycus Neapolitanus v2./1. Jh.,Greek,Lycus Neapolitanus v2./1. Jh.
G55617,Menippus Historicus,Greek,Menippus Historicus ca. 1.Jh.v.Chr.
G55968,"Valens, Terentius ca. 2.Jh.n.Chr.",Greek,Valens
G56017,Xenophon Historicus v3./2. Jh.,Greek,Xenophon Historicus v3./2. Jh.
G79861,Isidorus Gnosticus ca. 150,Greek,Isidorus Gnosticus ca. 150
G21819,Evangelium Naassenum,Greek,Evangelium Naassenum
G90911,"Agrippa, Julius",Greek,Agrippa
G21762,Paradoxographus Palatinus,Greek,Paradoxographus
G68489,"Antiochus, Philometor",Greek,Antiochus
G47658,"Eusebius, monachus",Greek,Eusebius
G20780,"Aristarchus, Tarsensis",Greek,Aristarchus
G97141,Marcellinus II,Greek,Marcellinus II
G57432,Acacius Medicus ca. 1.Jh.n.Chr.,Greek,Acacius Medicus ca. 1. Jh.
G57547,Apelles Medicus v1. Jh. / 1. Jh.,Greek,Apelles Medicus v1. Jh. / 1. Jh.
G57575,Archibius Medicus v1. Jh. / 1. Jh,Greek,Arquibi
G57727,Critodemus Astrologus v3. Jh.,Greek,Critodemus Astrologus ca. v3. Jh.
G57855,Dioscorus Medicus ca. 2.Jh.n.Chr.,Greek,Dioscorus Medicus ca. 2. Jh.
G57942,Flavianus Cretensis ca. 2.Jh.n.Chr.,Greek,Flavianus Cretensis ca. 2. Jh.
G57957,Flavius Medicus ca. 2.Jh.n.Chr.,Greek,Flavius Medicus ca. 2. Jh.
G58127,Mantias Medicus v2. Jh.,Greek,Mantias Medicus v2. Jh.
G58189,"Menodotus, Perinthius, v2 Jh.",Greek,Menodotus Perinthius v2. Jh.
G58382,Publius Medicus v1. Jh.,Greek,Publius Medicus v1. Jh.
G87737,"Lollianus, Ephesius",Greek,Lollianus
G35225,"Diodore, of Tarsus, Bishop of Tarsus, -approximately 392",Greek,Diodorus Tarsensis Episcopus
G80802,Aelius Publius Julius,Greek,Aelius Publius Julius
G64523,Pseudo-Methodius,Greek,Methodius
G50745,Pseudo-Hecataeus,Greek,Hecataeus
G08191,"Heraclides, Ephesius",Greek,Heraclides
G01495,"Asterius, the Sophist, -approximately 341",Greek,Astère le Sophiste
G80001,N. Fabius Pictor,Greek,Fabius Pictor
G60587,"Justin, the Gnostic, fl. 2nd cent.",Greek,Iustinus Gnosticus
G18664,Demetrius Scepsius ca. geb. v205,Greek,Димитрий Скепсидски
G20332,Apollonius Ther ca. 1.Jh.v.Chr.,Greek,Apollonius Ther ca. 1.Jh.v.Chr.
G20748,Epigonus Medicus 1. Jh,Greek,Epigonus Medicus 1. Jh.
G20805,Isidorus Memphiticus ca. 2.Jh.n.Chr.,Greek,Isidorus Memphiticus ca. 2. Jh.
G20880,Menoetius Medicus ca. 2.Jh.n.Chr.,Greek,Menoetius Medicus ca. 2. Jh.
G21118,Theodorus Tragicus,Greek,Theodorus Tragicus v2. Jh.
G92503,Sacadas ,Greek,Σακάδας
G92576,Cedeides,Greek,Ceceides of Hermione
G92602,Gnesippus,Greek,Gnesip
G92619,Leotrophides,Greek,Leotrophides
G63705,Pseudo-Hippocrates,Greek,Hippocrates
G15969,Pseudo-Dioscorides,Greek,Pseudo-Dioscorides
G17543,"Pytheas, of Massalia",Greek,Pythéas
G82276,Castor Rhodius v1. Jh,Greek,Castor Rhodius
G86050,Andronicus Medicus ca. 1.Jh.n.Chr.,Greek,Andronicus Medicus ca. 1. Jh.
G86066,Apollonius Mys v1. Jh.,Greek,Apol·loni Herofileu
G86389,"Echemenes, Cretensis, ca. 3.Jh.n.Chr",Greek,Echemenes Cretensis ca. 3. Jh.
G86475,Harmodius Tarsensis v1. Jh,Greek,Harmodius Tarsensis v1. Jh.
G86819,Theogenes Historicus ca. 3.Jh.v.Chr.,Greek,Theogenes Politiker des 4. Jahrhunderts v. Chr. aus Athen
G04852,Euryphon Cnidius ca. v5. Jh,Greek,Eurifó metge grec
G43353,Antoninus Cous ca. 1.Jh.n.Chr.,Greek,Antoninus Cous ca. 1. Jh.
G43376,Aquila Secundilla ca. 1.Jh.v.Chr.,Greek,Aquila Secundilla ca. 1.Jh.v.Chr.
G43382,Aristocrates Grammaticus 1. Jh,Greek,Aristocrates Grammaticus 1. Jh.
G43767,Eugenius Medicus 1./2. Jh,Greek,Eugenius Medicus 1./2. Jh.
G44152,Simylus Iambographus v4./1. Jh.,Greek,Simylus Iambographus v4./1. Jh.
G00920,Pseudo-Zonaras,Greek,Pseudo-Zonaras
G04311,Bryson Heracleensis ca. v4. Jh.,Greek,Bryson Heracleensis ca. v4. Jh.
G04348,Cleophantus Medicus v1. Jh.,Greek,Cleòfant
G04714,Isidorus Antiochenus ca. 2.Jh.n.Chr.,Greek,Isidorus Antiochenus ca. 2. Jh.
G04779,Mago Carthaginiensis ca. v3.-v2. Jh,Greek,ماغون
G04831,"Nicolaus, Medicus ca. 2.Jh.n.Chr.",Greek,Nicolaus Medicus ca. 2. Jh.
G04849,Orestinus Medicus ca. 1.Jh.v.Chr,Greek,Orestinus Medicus ca. 1.Jh.v.Chr.
G04877,Pasio Medicus ca. 1.Jh.n.Chr.,Greek,Pasio Medicus ca. 1. Jh.
G05001,Quadratus Medicus ca. 1Jh.n.Chr.,Greek,Quadratus Medicus ca. 1. Jh.
G05055,Timesitheus Tragicus Person der Antike,Greek,Timesitheus Tragicus
G05064,Timocles Tragicus v4. Jh.,Greek,Timocles (poeta tràgic)
G05072,Timotheus Tragicus v4. Jh.,Greek,Timotheus Tragicus v4. Jh.
G44304,Arrianus Astronomus 2.Jh.v.Chr.,Greek,Arrianus Astronomus 2.Jh.v.Chr.
G26494,"Timachidas, of Lindos",Greek,Timàquides
G66356,Antigonus Medicus ca. 2.Jh.n.Chr,Greek,Antigonus Medicus ca. 2. Jh.
G66394,"Archippus, Tarentinus, v5. Jh.",Greek,Archippos von Tarent Philosoph der Antike
G66432,Aspasius Medicus,Greek,Aspasius Medicus ca. 1. Jh.
G66466,Blastus Medicus ca. 1.Jh.n.Chr.,Greek,Blastus Medicus ca. 1. Jh.
G66478,Callimachus Iunior,Greek,Callimachus Iunior v3. Jh.
G66497,Candidus Medicus ca. 2.Jh.n.Chr.,Greek,Candidus Medicus ca. 2. Jh.
G66791,Gallus Medicus v1. Jh.,Greek,Aelius Gallus
G66801,Gennadius Medicus ca. 2.Jh.n.Chr.,Greek,Gennadius Medicus ca. 2. Jh.
G66919,Maia Medicus Person der Antike,Greek,Maia Medicus
G66990,Niceratus Medicus v1. Jh. / 1. Jh,Greek,Nicerat
G67061,Praxagoras Cous v4. Jh,Greek,براكساغوراس
G67116,Ptolemais Cyrenaeus v300-100,Greek,Πτολεμαῒς ἡ Κυρηναία
G67192,Zoilus Medicus ca. 1.Jh.n.Chr.,Greek,Zoilus Medicus ca. 1. Jh.
G98463,Amphion Medicus ca. 2.Jh.n.Chr.,Greek,Amphion Medicus ca. 2. Jh.
G98471,Amyntas Historicus v4. Jh.,Greek,Amyntas Historicus v4. Jh.
G98485,Antiphanes Delius v2. Jh.,Greek,Antífanes de Delos metge grec
G98503,Apollophanes Seleucensis v3. Jh.,Greek,Apol·lòfanes de Selèucia metge de l'antiga Grècia
G98542,Aristaeus Philosophus v350/320,Greek,Aristaeus Philosophus v350/320
G98975,Machaerion Medicus ca. 2.Jh.n.Chr.,Greek,Machaerion Medicus ca. 2. Jh.
G99051,Nileus Medicus v3. Jh.,Greek,Nileus Medicus v3. Jh.
G99177,Straton Alexandrinus v3. Jh.,Greek,Straton Alexandrinus v3. Jh.
G99203,Timocrates Medicus ca. 2.Jh.n.Chr.,Greek,Timocrates Medicus ca. 2. Jh.
G19384,"Hannibal,  247 B.C.-182 B.C.",Greek,Hannibal
G28523,"Valentinus, active 2nd century",Greek,فالانتينوس الغنوصي فيلسوف مصري
G29965,Achillas Medicus,Greek,Achillas Medicus v1. Jh. / 1. Jh.
G30078,Azanites Medicus v1. Jh,Greek,Azànites
G30304,Eumerus Medicus ca. 2.Jh.n.Chr.,Greek,Eumerus Medicus ca. 2. Jh.
G30423,"Milon, of Croton",Greek,Μίλων
G30468,Origenia Medica ca. 1.Jh.n.Chr.,Greek,Origenia Medica ca. 1. Jh.
G30633,"Servius, Historicus Person der Antike",Greek,Servius Historicus
G30651,Simonides Carystius,Greek,Simonides Carystius
G04465,Aelius Promotus,Greek,Aelius Promotus
G92759,Musa Medicus 1. Jh.,Greek,Musa Medicus 1. Jh.
G92802,"Phaleas, Chalcedonius, v. 400",Greek,Фалей Халкідонскі
G92818,Philaenis Samia v3. Jh.,Greek,Filenis de Samos
G92943,Telauges Philosophus Erfundene Person der Antike,Greek,Telauges
G93026,Turpilianus Medicus ca. 1.Jh.n.Chr,Greek,Turpilianus Medicus ca. 1. Jh.
G19576,Cinaethon Lacedaemonius 8./7. Jh. v. Chr,Greek,Cinetó de Lacedemònia
G52400,Ambrosius Rusticus ca. 1.Jh.n.Chr,Greek,Ambrosius Rusticus ca. 1. Jh.
G52437,Andreas Medicus -v217,Greek,Andreas von Karystos griechischer Arzt der Antike
G52557,Caemaron Historicus ca. 1.Jh.n.Chr.,Greek,Caemaron Historicus ca. 1. Jh.
G52865,Halieus Medicus ca. 1.Jh.n.Chr.,Greek,Halieus Medicus ca. 1. Jh.
G53095,Otho Siculus ca. 1.Jh.v.Chr.,Greek,Otho Siculus ca. 1.Jh.v.Chr.
G53114,"Petronius Medicus
G53302,Zeno Laodicensis v1. Jh.""",Greek,Zeno Laodicensis v1. Jh.
G30000,Dionysius (Epic Poet),Greek,Dionysius (Epic poet)
G13767,Asclepius Medicus,Greek,Asclepius Medicus ca. 1. Jh.
G13947,Diodorus Tyrius ca. 2. Jh. v. Chr.,Greek,ديودوروس الصوري فيلسوف إغريقي
G14008,Erastus Philosophus v4. Jh.,Greek,Erastus Philosophus v4. Jh.
G18342,"Severus Alexander, Emperor of Rome,  208-235",Greek,Alexander Severus
G21337,"Menedemus, 338 B.C.?-265 B.C",Greek,Μενέδημος
G50318,"Dionysius, Saint, Bishop of Corinth, active 2nd century",Greek,Korinfli Dionisi
G21684,none,Greek,Ilias parva
G80722,Abascantus Lugdunensis ca. 1.Jh.n.Chr,Greek,Abascantus
G80820,Apion Medicus ca. 1.Jh.n.Chr.,Greek,Apion Medicus ca. 1. Jh.
G80854,Apollonius Archistrator ca. 1.Jh.n.Chr.,Greek,Apollonius Archistrator ca. 1. Jh.
G80923,Athamas Philosophus v3. Jh.,Greek,Athamas Philosophus v3. Jh.
G81159,Diodorus Aspendius v4. Jh,Greek,Diodor d'Aspendos
G81171,Dionysius Empiricus v1. Jh.,Greek,Dionysius Empiricus v1. Jh.
G81308,Lupercus,Greek,卢波库斯
G81377,Morsimus Tragicus v5. Jh.,Greek,Mòrsim
G81558,Sergius Babylonius ca. 2.Jh.n.Chr,Greek,Sergius Babylonius ca. 2. Jh.
G81625,Theudotus Tragicus v1. Jh.,Greek,Theudotus Tragicus v1. Jh.
G81694,Zosimus Medicus,Greek,Zosimus Medicus ca. 2. Jh.
G17483,Agathocles Medicus ca. 1.Jh.n.Chr.,Greek,Agathocles Medicus ca. 1. Jh.
G17514,Apollodorus Alexandrinus v3. Jh.,Greek,Apollodoros altgriechischer Arzt und Iologe (Giftforscher)
G17533,Arimnestus Philosophus v4./3. Jh.,Greek,Arimnestus Philosophus v4./3. Jh.
G17871,Ephippus Olynthus ca. v4. Jh.,Greek,Ephippus Olynthus ca. v4. Jh.
G17994,Magnus Philadelphiensis 1. Jh.,Greek,Magnus Philadelphiensis 1. Jh.
G18220,Polycharmus Naucratites ca. 4.Jh.v.Chr.,Greek,Polycharmus Naucratites ca. 4.Jh.v.Chr.
G18231,Pompeius Sabinus 2. Jh.,Greek,Pompeius Sabinus 2. Jh.
G38102,"Aristobulus, active 2nd century B.C",Greek,Αριστόβουλος
G36623,Aeneas Historicus,Greek,Aeneas Historicus v3./2. Jh.
G36647,Alexion Grammaticus 1. Jh.,Greek,Alexion Grammaticus 1. Jh.
G36702,Arrianus Epicus,Greek,Arrià
G36760,Tullius Bassus v1. Jh. /1. Jh.,Greek,Tullius Bassus v1. Jh. /1. Jh.
G36993,Dionysius Cyrtus 1. Jh.,Greek,Dionís de Cirtus
G37086,Gemellus Medicus 2. Jh.,Greek,Gemellus Medicus 2. Jh.
G37188,Laodicus Medicus ca. 1.Jh.n.Chr.,Greek,Laodicus Medicus ca. 1. Jh.
G37212,Megillus Philosophus v3./2. Jh.,Greek,Megillos
G54332,Antimachus Teius,Greek,Antímac de Teos
G01285,Apollonius Opsis v1. Jh.,Greek,Apollonius Opsis v1. Jh.
G01302,Aristion Alexandrinus 1. Jh.,Greek,Aristió
G01599,Evangelus Medicus ca. 1.Jh.n.Chr.,Greek,Evangelus Medicus ca. 1. Jh.
G01649,Gaius Medicus ca. 1./2.Jh.n.Chr.,Greek,Gaius Medicus ca. 1./2. Jh.
G01704,Iulius Epicus 5. Jh.,Greek,Iulius Epicus 5. Jh.
G01762,Menelaus Aegaeus v3./1. Jh,Greek,Menelau d'Eges
G01789,Moderatus Gaditanus ca. 1. Jh.,Greek,Μοδέρατος
G01974,Straton Berytensis 1. Jh.,Greek,Estrató de Beirut
G27723,Montanus Phrygius ca. 2. Jh.,Greek,Montà
G75712,Charicles Medicus 1. Jh,Greek,Charicles Medicus 1. Jh.
G75899,Diophilus Poeta v4./3. Jh.,Greek,Diophilus Poeta v4./3. Jh.
G75921,Evanthes Epicus ca. 2.Jh.n.Chr.,Greek,Evanthes Epicus ca. 2. Jh.
G76015,Icodotus Medicus ca. 2.Jh.n.Chr.,Greek,Icodotus Medicus ca. 2. Jh.
G76138,"Antiochus, Paccius‏",Greek,Paccius Antiochus 1. Jh.
G76172,Apius Phascus Med.,Greek,Phascus Medicus ca. 2. Jh.
G76345,Telamon Medicus ca. 2.Jh.n.Chr.,Greek,Telamon Medicus ca. 2. Jh.
G76350,Thearidas Philosophus v3. Jh.,Greek,Thearidas Philosophus v3. Jh.
G30007,"Gennadius I, Saint, Patriarch of Constantinople, active 458-471",Greek,Πατριάρχης Γεννάδιος Α΄ Πατριάρχης Κωνσταντινουπόλεως και άγιος της Ανατολικής Ορθόδοξης Εκκλησίας
G78274,"Pseudo-Dionysius, the Areopagite",Greek,Pseudo-Dionysius
G51889,"Carneades, active 2nd century B.C.",Greek,Carneades
G41110,Anacreon Iunior v4./2. Jh.,Greek,Anacreon Iunior v4./2. Jh.
G41422,Eudorus Alexandrinus v35,Greek,İsgəndəriyyəli Evdor
G41507,Hybristus Oxyrhynchites ca. 3.Jh.v.Chr,Greek,Hybristus Oxyrhynchites ca. 3.Jh.v.Chr.
G41728,Proclus Medicus v1. Jh.,Greek,Proclus Medicus v1. Jh.
G41737,Pythius Medicus ca. 1.Jh.n.Chr.,Greek,Pythius Medicus ca. 1. Jh.
G07544,Julianus of Alexandria,Greek,Julianus
G33411,Herodes Atticus,Greek,Hérode Atticus
G95338,Alcimion Medicus 1. Jh.,Greek,Alcimion Medicus 1. Jh.
G95340,Amythaon Medicus 1. Jh.,Greek,Amythaon Medicus 1. Jh.
G95477,Callicrates Periegeta,Greek,Kallikrates-Menekles griechischer Historiker
G95648,Harpalus Medicus ca. 1.Jh.n.Chr,Greek,Harpalus Medicus ca. 1. Jh.
G95703,Hierax Thebanus ca. 2.Jh.n.Chr.,Greek,Hierax Thebanus ca. 2. Jh.
G95788,Metopus Metapontinus v3. Jh,Greek,Metopus Metapontinus v3. Jh.
G95918,Quintus Medicus,Greek,Quintus Medicus 2. Jh.
G95994,Timotheus Metapontinus v4./3. Jh,Greek,Timotheus Metapontinus v4./3. Jh.
G55845,Anthaeus Medicus ca. 2.Jh.n.Chr.,Greek,Anthaeus Medicus ca. 2. Jh.
G55850,Antipater Medicus v1. Jh. /1. Jh.,Greek,Antípatre metge de la Grècia romana
G56094,Diogenes Medicus,Greek,Diògenes
G56191,Hermogenes Historicus ca. 4.Jh.v.Chr.bzw.1.Jh.n.Chr.,Greek,Hermogenes Historicus ca. 4. Jh. v. Chr. bzw. 1. Jh.
G56209,Hermogenes Smyrnaeus 2. Jh.,Greek,Hermogenes Smyrnaeus 2. Jh.
G56250,"Leucon, Comicus, 5./4. Jh. v. Chr.",Greek,Leucó
G56369,Philotas Medicus 2. Jh,Greek,Philotas Medicus 2. Jh.
G56437,Synerus Medicus ca. 2.Jh.n.Chr.,Greek,Synerus Medicus ca. 2. Jh.
G22869,Odae Salomonis,Greek,Odae Salomonis
