"Variant","Authorized Name","DLL Identifier (Author)"
"feofan, novgorodský arcibiskup, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
"prokopovič, feofan","feofan, archbishop of novgorod, 1681-1736","A2903"
"prokopovič, feofan, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
"prokopovitš, feofan, 1681-1736.","feofan, archbishop of novgorod, 1681-1736","A2903"
"teofan (metropolita nowogrodzki","feofan, archbishop of novgorod, 1681-1736","A2903"
"1681-1736)","feofan, archbishop of novgorod, 1681-1736","A2903"
"theophanes 1681-1736 архиепископ новгородский","feofan, archbishop of novgorod, 1681-1736","A2903"
"l.procilius l.f.","procilius","A2904"
"procilius v1. jh.","procilius","A2904"
"procplius v1. jh.","procilius","A2904"
"procilihs v1. wh.","procilius","A2904"
"procslius v1. jh.","procilius","A2904"
"procilius v1. ah.","procilius","A2904"
"modestinus, herennius ca. 3. jh.","modestinus, herennius, active 3rd century","A2905"
"modestinus, herennius, sec. iii","modestinus, herennius, active 3rd century","A2905"
"modestinus, herennius.","modestinus, herennius, active 3rd century","A2905"
"moxestinus, eerennius.","modestinus, herennius, active 3rd century","A2905"
"moqessinus, herennius.","modestinus, herennius, active 3rd century","A2905"
"nerva","nerva, emperor of rome, approximately 30-98","A2906"
"nerva empereur romain 0026?-0098","nerva, emperor of rome, approximately 30-98","A2906"
"nerva römisches reich, kaiser 30-98","nerva, emperor of rome, approximately 30-98","A2906"
"nerva император римский ок. 30-98","nerva, emperor of rome, approximately 30-98","A2906"
"nerva, 0026?-0098, empereur romain","nerva, emperor of rome, approximately 30-98","A2906"
"nerva, emperador de roma","nerva, emperor of rome, approximately 30-98","A2906"
"nerwa (cesarz rzymski","nerva, emperor of rome, approximately 30-98","A2906"
"30-98)","nerva, emperor of rome, approximately 30-98","A2906"
"domicià, tit flavi, emperador de roma, 51-96","domitian, emperor of rome, 51-96","A2907"
"domiciano, emperador de roma","domitian, emperor of rome, 51-96","A2907"
"domicjan (cesarz rzymski","domitian, emperor of rome, 51-96","A2907"
"51-96)","domitian, emperor of rome, 51-96","A2907"
"domitian","domitian, emperor of rome, 51-96","A2907"
"domitian romersk keiser 51-96","domitian, emperor of rome, 51-96","A2907"
"domitian römisches reich, kaiser 51-96","domitian, emperor of rome, 51-96","A2907"
"domitian, emperor of rome","domitian, emperor of rome, 51-96","A2907"
"domitian, emperor of rome (roman emperor, 51-96 ce)","domitian, emperor of rome, 51-96","A2907"
"domitian, římský císař, 51-96","domitian, emperor of rome, 51-96","A2907"
"domitianus","domitian, emperor of rome, 51-96","A2907"
"domitianus 51-96 romos imperatorius","domitian, emperor of rome, 51-96","A2907"
"domitianus император римский 51-96","domitian, emperor of rome, 51-96","A2907"
"domitianus, romersk kejsare, 51-96","domitian, emperor of rome, 51-96","A2907"
"domitianus, t. flavius, 51-96","domitian, emperor of rome, 51-96","A2907"
"domitianus, titus flavius, imperatore romano, 51-96","domitian, emperor of rome, 51-96","A2907"
"domitien empereur romain 0051-0096","domitian, emperor of rome, 51-96","A2907"
"domitien, 0051-0096, empereur romain","domitian, emperor of rome, 51-96","A2907"
"domitien, empereur romain, 51-96","domitian, emperor of rome, 51-96","A2907"
"domiziano 51-96 imperatore romano","domitian, emperor of rome, 51-96","A2907"
"titus flavius caesar domitianus augustus","domitian, emperor of rome, 51-96","A2907"
"titus flavius domitianus","domitian, emperor of rome, 51-96","A2907"
"titus flavius domitianus 51-96, rimski car","domitian, emperor of rome, 51-96","A2907"
"titus flavius domitianus, rimski car","domitian, emperor of rome, 51-96","A2907"
"gaius aburnius valens","valens, gaius aburnius, 109","A2908"
"l.fulvius c.f. aburnius valens","valens, gaius aburnius, 109","A2908"
"valens, gaius aburnius 109","valens, gaius aburnius, 109","A2908"
"valens, gaius aburnius, 109","valens, gaius aburnius, 109","A2908"
"domitius afer","domitius afer, -59","A2909"
"domitsus afer","domitius afer, -59","A2909"
"womigius afer","domitius afer, -59","A2909"
"dbmitius afer","domitius afer, -59","A2909"
"doditius afer","domitius afer, -59","A2909"
"domijius afer","domitius afer, -59","A2909"
"domitiuj afer","domitius afer, -59","A2909"
"c. trebonius c.f.","trebonius, c.","A2910"
"caius trebonius","trebonius, c.","A2910"
"trebonius","trebonius, c.","A2910"
"trebonius, gaius v45","trebonius, c.","A2910"
"antoní pius, emperador de roma, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antonin le pieux empereur romain 0086-0161","antoninus pius, emperor of rome, 86-161","A2911"
"antonin le pieux, 0086-0161, empereur romain","antoninus pius, emperor of rome, 86-161","A2911"
"antonin le pieux, empereur romain, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antonino pio 86-161 imperador de roma","antoninus pius, emperor of rome, 86-161","A2911"
"antonino pio, imperador de roma, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antonino pio, imperatore romano, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius (cesarz rzymski","antoninus pius, emperor of rome, 86-161","A2911"
"86-161)","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius romersk keiser 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius römisches reich, kaiser 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius император римский 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius, emperor of rome (roman emperor, 86-161 ce)","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius, imperatore romano, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius, římský císař, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus pius, titus aurelius","antoninus pius, emperor of rome, 86-161","A2911"
"antoninus, titus aurelius fulvus boionius pius, imperatore romano, 86-161","antoninus pius, emperor of rome, 86-161","A2911"
"trifonino, claudio","tryphoninus, claudius, active 2nd century-3rd century","A2912"
"tryphoninus, claudius","tryphoninus, claudius, active 2nd century-3rd century","A2912"
"tryphoninus, claudius ca. 2./3. jh.","tryphoninus, claudius, active 2nd century-3rd century","A2912"
"tryphoninus, claudius, 2e-3e eeuw","tryphoninus, claudius, active 2nd century-3rd century","A2912"
"lèpid, marc emili 87-13 ac","lepidus, marcus aemilius, -13 b.c.","A2913"
"lèpid, marc emili, 87 ac-13 ac","lepidus, marcus aemilius, -13 b.c.","A2913"
"lépide, -13 av. j.-c.","lepidus, marcus aemilius, -13 b.c.","A2913"
"lépido, marco emilio m. 13 a.c.","lepidus, marcus aemilius, -13 b.c.","A2913"
"lepidus","lepidus, marcus aemilius, -13 b.c.","A2913"
"lepidus, m. aemilius","lepidus, marcus aemilius, -13 b.c.","A2913"
"lepidus, marcus aemilius (ok. 89 p.n.e.-13 p.n.e.)","lepidus, marcus aemilius, -13 b.c.","A2913"
"lepidus, marcus aemilius triumvir v90-v12","lepidus, marcus aemilius, -13 b.c.","A2913"
"lepidus, marcus aemilius, -12 př. kr.","lepidus, marcus aemilius, -13 b.c.","A2913"
"m.aemilius m.f.q.n. lepidus","lepidus, marcus aemilius, -13 b.c.","A2913"
"marcus aemilius lepidus","lepidus, marcus aemilius, -13 b.c.","A2913"
"vennonius 2. jh. v. chr","vennonius","A2914"
"vennonius v2. jh.","vennonius","A2914"
"vennanius 2. jh. v. chr","vennonius","A2914"
"vennoniuk 2. jh. v. chr","vennonius","A2914"
"vennonixs 2. jh. v. chr","vennonius","A2914"
"vpnnonius 2. jh. v. chr","vennonius","A2914"
"c. suetonius paulinus","suetonius paulinus","A2915"
"suetonio paulino, cayo","suetonius paulinus","A2915"
"suetonius paulinus, gaius","suetonius paulinus","A2915"
"suetonius paullinus, gaius 1. jh.","suetonius paulinus","A2915"
"sabinus, masurius","sabinus, masurius","A2916"
"sabinos, masurius","sabinus, masurius","A2916"
"sabinus, maturius","sabinus, masurius","A2916"
"scbinus, masurifs","sabinus, masurius","A2916"
"sabinus, masupous","sabinus, masurius","A2916"
"sabinus, mawurius","sabinus, masurius","A2916"
"sabinus, maserius","sabinus, masurius","A2916"
"priscilianus","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillian bishop of avila (π.350-385)","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillian, bishop of avila","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillian, bishop of avila, approximately 350-385","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillianus","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillianus biskop av avila ca. 350-385","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillianus ca340-385","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillien 0340?-0385","priscillian, bishop of avila, approximately 350-385","A2917"
"priscillien, 0350-0385, évêque d'avila","priscillian, bishop of avila, approximately 350-385","A2917"
"post, johann, 1537-1597","posthius, johannes, 1537-1597","A2918"
