"author","distilbert_author","count"
"Augustine, of Hippo, Saint, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","62"
"Aurelianus, Caelius","{'authorized_name': 'aurelianus, caelius', 'author_id': 'A5373'}","1"
"Aurelianus, Caelius.","{'authorized_name': 'aurelianus, caelius', 'author_id': 'A5373'}","2"
"Aurelius Victor, Sextus.","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}","1"
"Ausonius, Decimus Magnus","{'authorized_name': 'ausonius, decimus magnus', 'author_id': 'A5314'}","5"
"Ausonius, Decimus Magnus.","{'authorized_name': 'ausonius, decimus magnus', 'author_id': 'A5314'}","9"
"Avancini, Nicolaus von, 1611-1686.","{'authorized_name': 'avancini, nicolaus von, 1611-1686', 'author_id': 'A4114'}","1"
"Aventinus, Johannes, 1477-1534.","{'authorized_name': 'aventinus, johannes, 1477-1534', 'author_id': 'A4082'}","1"
"Averroës, 1126-1198.","{'authorized_name': 'averroës, 1126-1198', 'author_id': 'A4447'}","1"
"Avienus, Rufius Festus","{'authorized_name': 'avienus, rufius festus', 'author_id': 'A5550'}","1"
"Avienus, Rufius Festus.","{'authorized_name': 'avienus, rufius festus', 'author_id': 'A5550'}","1"
"Bacon, Francis, 1561-1626","{'authorized_name': 'bacon, francis', 'author_id': 'A4711'}","3"
"Bacon, Francis, 1561-1626.","{'authorized_name': 'bacon, francis', 'author_id': 'A4711'}","4"
"Bacon, Roger, 1214?-1294","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","1"
"Bacon, Roger, 1214?-1294.","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","28"
"Bacon, Roger.","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","3"
"Baconthorpe, John, -1346.","{'authorized_name': 'baconthorpe, john, -1346', 'author_id': 'A3756'}","2"
"Baconthorpe, John, ca. 1290-1346.","{'authorized_name': 'baconthorpe, john, -1346', 'author_id': 'A3756'}","1"
"Baconthorpe, John, m.1346","{'authorized_name': 'baconthorpe, john, -1346', 'author_id': 'A3756'}","3"
"Baerle, Caspar van, 1584-1648.","{'authorized_name': 'baerle, caspar van, 1584-1648', 'author_id': 'A4128'}","2"
"Balde, Jakob, 1604-1668","{'authorized_name': 'balde, jakob', 'author_id': 'A4703'}","2"
"Balde, Jakob, 1604-1668.","{'authorized_name': 'balde, jakob', 'author_id': 'A4703'}","7"
"Baptista, Mantuanus, 1447-1516.","{'authorized_name': 'baptista, mantuanus, 1448-1516', 'author_id': 'A3892'}","1"
"Baptista, Mantuanus, 1448-1516.","{'authorized_name': 'baptista, mantuanus, 1448-1516', 'author_id': 'A3892'}","2"
"Barclay, John, 1582-1621.","{'authorized_name': 'barclay, john, 1582-1621', 'author_id': 'A5595'}","1"
"Barth, Caspar von, 1587-1658.","{'authorized_name': 'barth, kaspar von, 1587-1658', 'author_id': 'A4102'}","1"
"Barth, Kaspar von, 1587-1658.","{'authorized_name': 'barth, kaspar von, 1587-1658', 'author_id': 'A4102'}","1"
"Bartholin, Thomas, 1616-1680","{'authorized_name': 'bartholin, thomas, 1616-1680', 'author_id': 'A4111'}","1"
"Bartholin, Thomas, 1616-1680.","{'authorized_name': 'bartholin, thomas, 1616-1680', 'author_id': 'A4111'}","2"
"Bartolo da Sassoferrato","{'authorized_name': 'bartolo, of sassoferrato, 1313-1357', 'author_id': 'A4321'}","1"
"Bartolo, of Sassoferrato, 1313-1357.","{'authorized_name': 'bartolo, of sassoferrato, 1313-1357', 'author_id': 'A4321'}","1"
"Basinio, da Parma, 1425-1457.","{'authorized_name': 'basinio, da parma, 1425-1457', 'author_id': 'A4146'}","2"
"Baudouin, François, 1520-1573.","{'authorized_name': 'baudouin, françois, 1520-1573', 'author_id': 'A4124'}","1"
"Bauhuis, Bernard, 1575-1619.","{'authorized_name': 'bauhuis, bernard', 'author_id': 'A4134'}","1"
"Beccadelli, Antonio, 1394-1471","{'authorized_name': 'beccadelli, antonio, 1394-1471', 'author_id': 'A3024'}","1"
"Beccadelli, Antonio, 1394-1471.","{'authorized_name': 'beccadelli, antonio, 1394-1471', 'author_id': 'A3024'}","3"
"Bembo, Pietro, 1470-1547","{'authorized_name': 'bembo, pietro, 1470-1547', 'author_id': 'A5607'}","2"
"Bembo, Pietro, 1470-1547.","{'authorized_name': 'bembo, pietro, 1470-1547', 'author_id': 'A5607'}","4"
"Benci, Francesco (S.I.), 1542-1594.","{'authorized_name': 'benci, francesco, 1542-1594', 'author_id': 'A4077'}","1"
"Benci, Francesco, 1542-1594","{'authorized_name': 'benci, francesco, 1542-1594', 'author_id': 'A4077'}","1"
"Benseler, Gustav Eduard, 1806-1868","{'authorized_name': 'benseler, gustav eduard, 1806-1868', 'author_id': 'A6182'}","2"
"Bergk, Theodor, 1812-1881.","{'authorized_name': 'bergk, theodor, 1812-1881', 'author_id': 'A3537'}","2"
"Bergk, Theodor.","{'authorized_name': 'bergk, theodor, 1812-1881', 'author_id': 'A3537'}","1"
"Bernard, of Chartres.","{'authorized_name': 'bernard, of chartres', 'author_id': 'A5392'}","1"
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}","3"
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153.","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}","16"
"Bernard, of Clairvaux, Saint, 1090 or 91-1153","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}","1"
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}","5"
"Bernardino de Siena, Santo, 1380-1444.","{'authorized_name': 'bernardino, da siena, saint, 1380-1444', 'author_id': 'A4310'}","2"
"Bernoulli, Jakob, 1654-1705","{'authorized_name': 'bernoulli, jakob, 1654-1705', 'author_id': 'A4089'}","1"
"Bernoulli, Jakob, 1654-1705.","{'authorized_name': 'bernoulli, jakob, 1654-1705', 'author_id': 'A4089'}","2"
"Beroaldo, Filippo, 1453-1505","{'authorized_name': 'beroaldo, filippo, 1453-1505', 'author_id': 'A4095'}","1"
"Beroaldo, Filippo, 1453-1505.","{'authorized_name': 'beroaldo, filippo, 1453-1505', 'author_id': 'A4095'}","2"
"Bersuire, Pierre, ca.1290-1362","{'authorized_name': 'bersuire, pierre, approximately 1290-1362', 'author_id': 'A4343'}","2"
"Bidermann, Jakob, 1577 or 1578-1639.","{'authorized_name': 'bidermann, jakob, 1577 or 1578-1639', 'author_id': 'A4158'}","1"
"Bidermann, Jakob, 1577-1639.","{'authorized_name': 'bidermann, jakob, 1577 or 1578-1639', 'author_id': 'A4158'}","1"
"Biel, Gabriel, d. 1495","{'authorized_name': 'biel, gabriel, -1495', 'author_id': 'A3151'}","1"
"Biel, Gabriel, d.1495.","{'authorized_name': 'biel, gabriel, -1495', 'author_id': 'A3151'}","1"
"Biel, Gabriel.","{'authorized_name': 'biel, gabriel, -1495', 'author_id': 'A3151'}","5"
"Biondo Flavio, 1392-1463.","{'authorized_name': 'biondo, flavio, 1392-1463', 'author_id': 'A4049'}","2"
"Bissel, Johann, 1601-1682","{'authorized_name': 'bissel, johann, 1601-1682', 'author_id': 'A5611'}","1"
"Bissel, Johann, 1601-1682.","{'authorized_name': 'bissel, johann, 1601-1682', 'author_id': 'A5611'}","1"
"Blarru, Pierre de, 1437-1510.","{'authorized_name': 'blarru, pierre de 1437-1510', 'author_id': 'A4094'}","1"
"Boccaccio, Giovanni, 1313-1375.","{'authorized_name': 'boccaccio, giovanni, 1313-1375', 'author_id': 'A4348'}","2"
"Bodin, Jean , 1530-1596.","{'authorized_name': 'bodin, jean, 1530-1596', 'author_id': 'A4074'}","1"
"Bodin, Jean, 1530-1596.","{'authorized_name': 'bodin, jean, 1530-1596', 'author_id': 'A4074'}","4"
"Boethius, -524","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","12"
"Boethius, -524.","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","13"
"Boethius, d. 524","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","1"
"Boethius, d. 524.","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","4"
"Bona, Giovanni (O. Cist.), Cardenal, 1609-1674","{'authorized_name': 'bona, giovanni, 1609-1674', 'author_id': 'A4056'}","2"
"Bona, Giovanni, 1609-1674.","{'authorized_name': 'bona, giovanni, 1609-1674', 'author_id': 'A4056'}","1"
"Bonaventure, Saint, Cardinal, approximately 1217-1274.","{'authorized_name': 'bonaventure, saint, cardinal, approximately 1217-1274', 'author_id': 'A4379'}","31"
"Bonaventure, Saint, Cardinal, ca. 1217-1274.","{'authorized_name': 'bonaventure, saint, cardinal, approximately 1217-1274', 'author_id': 'A4379'}","9"
"Bonfini, Antonio, 1427-1502.","{'authorized_name': 'bonfini, antonio, 1427-1502', 'author_id': 'A5608'}","1"
"Boniface, Saint, Archbishop of Mainz, approximately 675-754","{'authorized_name': 'boniface, saint, archbishop of mainz', 'author_id': 'A5391'}","2"
"Bordini, Giovanni Francesco, ca. 1536-1609.","{'authorized_name': 'bordini, giovanni francesco, approximately 1536-1609', 'author_id': 'A4092'}","1"
"Bouelles, Charles de","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}","3"
"Bouelles, Charles de.","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}","2"
"Bovelles, Charles de.","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}","1"
"Bovillus, Carolus, 1479-1567.","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}","1"
"Boxhorn, Marcus Zuerius, 1612-1653.","{'authorized_name': 'boxhorn, marcus zuerius, 1612-1653', 'author_id': 'A6026'}","3"
"Bracciolini, Poggio, 1380-1459.","{'authorized_name': 'bracciolini, poggio', 'author_id': 'A5554'}","2"
"Bracton, Henry de, -1268.","{'authorized_name': 'bracton, henry de, -1268', 'author_id': 'A3912'}","12"
"Bradwardine, Thomas, 1290?-1349.","{'authorized_name': 'bradwardine, thomas', 'author_id': 'A5475'}","1"
"Brant, Sebastian, 1458-1521,","{'authorized_name': 'brant, sebastian, 1458-1521', 'author_id': 'A4064'}","1"
"Brasavola, Antonio Musa (1500-1555)","{'authorized_name': 'brasavola, a. m. (antonio musa)', 'author_id': 'A5459'}","1"
"Brasavola, Antonio Musa, 1500-1555.","{'authorized_name': 'brasavola, a. m. (antonio musa)', 'author_id': 'A5459'}","5"
"Bruni, Leonardo, 1369-1444.","{'authorized_name': 'bruni, leonardo, 1369-1444', 'author_id': 'A4123'}","3"
"Bruno, Giordano, 1548-1600.","{'authorized_name': 'bruno, giordano, 1548-1600', 'author_id': 'A4076'}","27"
"Bucer, Martin, 1491-1551.","{'authorized_name': 'bucer, martin, 1491-1551', 'author_id': 'A4304'}","2"
"Buchanan, George, 1506-1582","{'authorized_name': 'buchanan, george', 'author_id': 'A4730'}","2"
"Buchanan, George, 1506-1582.","{'authorized_name': 'buchanan, george', 'author_id': 'A4730'}","1"
"Bude, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}","5"
"Budé, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}","4"
"Budé, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}","2"
"Buecheler, Franz, 1837-1908","{'authorized_name': 'buecheler, franz, 1837-1908', 'author_id': 'A3585'}","1"
"Buecheler, Franz, 1837-1908.","{'authorized_name': 'buecheler, franz, 1837-1908', 'author_id': 'A3585'}","2"
"Buenaventura, Santo, 1221-1274","{'authorized_name': 'bonaventure, saint, cardinal, approximately 1217-1274', 'author_id': 'A4379'}","21"
"Buenaventura, Santo, 1221-1274.","{'authorized_name': 'bonaventure, saint, cardinal, approximately 1217-1274', 'author_id': 'A4379'}","7"
"Burchardus, Episcopus Wormaciensis","{'authorized_name': 'burchard, bishop of worms', 'author_id': 'A5401'}","1"
"Burchardus, Episcopus Wormaciensis.","{'authorized_name': 'burchard, bishop of worms', 'author_id': 'A5401'}","2"
"Buridan, Jean, 1300-1358.","{'authorized_name': 'buridan, jean, 1300-1358', 'author_id': 'A5584'}","4"
"Burman, Pieter, 1668-1741.","{'authorized_name': 'burman, pieter, 1668-1741', 'author_id': 'A6043'}","1"
"Bursian, Konrad.","{'authorized_name': 'bursian, conrad, 1830-1883', 'author_id': 'A6116'}","1"
"Bèze, Théodore de, 1519-1605.","{'authorized_name': 'bèze, théodore de, 1519-1605', 'author_id': 'A4103'}","2"
"Bēssariōn, Cardinal, 1403-1472","{'authorized_name': 'bēssariōn, cardinal, 1403-1472', 'author_id': 'A3305'}","1"
"Caesar, Julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","47"
"Caesar, Julius.","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","98"
"Caesarius, of Heisterbach, approximately 1180-approximately 1240.","{'authorized_name': 'caesarius, of heisterbach, approximately 1180-approximately 1240', 'author_id': 'A5576'}","1"
"Calcagnini, Celio","{'authorized_name': 'calcagnini, celio, 1479-1541', 'author_id': 'A3019'}","1"
"Calvin, Jean, 1509-1564.","{'authorized_name': 'calvin, jean, 1509-1564', 'author_id': 'A4225'}","188"
"Campanella, Tommaso, 1568-1639","{'authorized_name': 'campanella, tommaso, 1568-1639', 'author_id': 'A4235'}","4"
"Campanella, Tommaso, 1568-1639.","{'authorized_name': 'campanella, tommaso, 1568-1639', 'author_id': 'A4235'}","7"
"Campano, Giannantonio, Bishop, 1429-1477.","{'authorized_name': 'campano, giannantonio, bishop, 1429-1477', 'author_id': 'A3029'}","1"
"Campano, Giovanni Antonio, 1429-1477.","{'authorized_name': 'campano, giannantonio, bishop, 1429-1477', 'author_id': 'A3029'}","1"
"Campion, Thomas, 1567-1620.","{'authorized_name': 'campion, thomas', 'author_id': 'A5559'}","1"
"Cano, Melchor (O.P.) 1509-1560","{'authorized_name': 'cano, melchor, 1509?-1560', 'author_id': 'A4265'}","6"
"Cano, Melchor (O.P.) 1509-1560.","{'authorized_name': 'cano, melchor, 1509?-1560', 'author_id': 'A4265'}","11"
"Cano, Melchor (O.P.), 1509-1560.","{'authorized_name': 'cano, melchor, 1509?-1560', 'author_id': 'A4265'}","3"
"Cano, Melchor, 1509?-1560.","{'authorized_name': 'cano, melchor, 1509?-1560', 'author_id': 'A4265'}","1"
"Canonieri, Pietro Andrea, -1639.","{'authorized_name': 'canonieri, pietro andrea, -1639', 'author_id': 'A4066'}","1"
"Canonieri, Pietro Andrea.","{'authorized_name': 'canonieri, pietro andrea, -1639', 'author_id': 'A4066'}","2"
"Canoniero, Pietro Andrea.","{'authorized_name': 'canonieri, pietro andrea, -1639', 'author_id': 'A4066'}","1"
"Cardano, Gerolamo, 1501-1576.","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}","1"
"Cardano, Girolamo, 1501-1576","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}","2"
"Cardano, Girolamo, 1501-1576.","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}","17"
"Cardano, Girolamo.","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}","2"
"Carrion, Louis, 1547-1595.","{'authorized_name': 'carrion, louis, 1547-1595', 'author_id': 'A6008'}","1"
"Casaubon, Isaac, 1559-1614.","{'authorized_name': 'casaubon, isaac, 1559-1614', 'author_id': 'A4057'}","5"
"Cassian, John, ca. 360-ca. 435.","{'authorized_name': 'cassian, john', 'author_id': 'A5174'}","5"
"Cassianus, Johannes, ca.360-435","{'authorized_name': 'cassian, john', 'author_id': 'A5174'}","3"
"Cassianus, Johannes, ca.360-435.","{'authorized_name': 'cassian, john', 'author_id': 'A5174'}","2"
"Cassiodorus, Flavius Magnus Aurelius","{'authorized_name': 'cassiodorus, senator', 'author_id': 'A5508'}","2"
"Cassiodorus, Senator, ca. 487-ca. 580","{'authorized_name': 'cassiodorus, senator', 'author_id': 'A5508'}","1"
"Cassiodorus, Senator, ca. 487-ca. 580.","{'authorized_name': 'cassiodorus, senator', 'author_id': 'A5508'}","2"
"Cassius Felix","{'authorized_name': 'cassius felix', 'author_id': 'A5412'}","3"
"Castellesi, Adriano.","{'authorized_name': 'castellesi, adriano, approximately 1461-', 'author_id': 'A5473'}","2"
"Castiglione, Baldassarre, conte, 1478-1529.","{'authorized_name': 'castiglione, baldassarre, conte, 1478-1529', 'author_id': 'A5614'}","1"
"Catallus, Gaius Valerius.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","1"
"Cato, Marcus Porcius, 234 B.C.-149 B.C.","{'authorized_name': 'cato, marcus porcius', 'author_id': 'A4678'}","17"
"Cato, Marcus Porcius, 234-149 B.C.","{'authorized_name': 'cato, marcus porcius', 'author_id': 'A4678'}","10"
"Catullus, Gaius Valerius","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","43"
"Catullus, Gaius Valerius.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","100"
"Catullus, Valerius.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","1"
"Catulo, Cayo Valerio","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","1"
"Catulo, Cayo Valerio.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","4"
"Caussin, Nicolas (S.I.), 1583-1651","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}","1"
"Caussin, Nicolas (S.I.), 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}","1"
"Caussin, Nicolas, (S.I.), 1583-1651","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}","4"
"Caussin, Nicolas, (S.I.), 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}","2"
"Caussin, Nicolas, 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}","3"
"Celso, Aulo Cornelio","{'authorized_name': 'celsus, aulus cornelius', 'author_id': 'A5349'}","2"
"Celso, Aulo Cornelio.","{'authorized_name': 'celsus, aulus cornelius', 'author_id': 'A5349'}","13"
"Censorinus.","{'authorized_name': 'censorinus', 'author_id': 'A5390'}","13"
"Ceva, Tomás.","{'authorized_name': 'ceva, tommaso, 1648-1737', 'author_id': 'A4018'}","1"
"Christ, Wilhelm von, 1831-1906.","{'authorized_name': 'christ, wilhelm von, 1831-1906', 'author_id': 'A3552'}","1"
"Cicero, M. Tullius, 106-43 v. Chr.","{'authorized_name': 'cicero, quintus tullius', 'author_id': 'A4668'}","1"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","371"
