"stripped_author","distil_author_only","partial_token_set","token_set","token_sort","std","std_range"
"curtius rufus quintus","curtius rufus quintus","100.0","100.0","100.0","0.0","0"
"burchard johann friedrich wilhelm","burchard von reichenau","100.0","61.81818181818182","61.81818181818181","22.044283005422077",""
"augustine of hippo saint 354430","augustine of hippo saint 354430","100.0","100.0","100.0","0.0","0"
"catullus gaius valerius","catullus gaius valerius","100.0","100.0","100.0","0.0","0"
"persyn janus van","persius","57.14285714285714","34.78260869565217","34.78260869565217","12.9096954601407",""
"gellius aulus","gellius aulus","100.0","100.0","100.0","0.0","0"
"lachmann karl 17931851","lachmann karl 17931851","100.0","100.0","100.0","0.0","0"
"mela pomponius","mela pomponius","100.0","100.0","100.0","0.0","0"
"nepos cornelius","nepos cornelius","100.0","100.0","100.0","0.0","0"
"ovid 43 bc17 ad or 18 ad","ovid 43 bc17 ad or 18 ad","100.0","100.0","100.0","0.0","0"
"persius","persius","100.0","100.0","100.0","0.0","0"
"phaedrus","phaedrus","100.0","100.0","100.0","0.0","0"
"rutilius namatianus claudius active 5th century","namatianus claudius rutilius active 5th century","100.0","100.0","100.0","0.0","0"
"sallust 86 bc34 bc","sallust","100.0","100.0","56.00000000000001","25.40341184434353",""
"seneca lucius annaeus approximately 4 bc65 ad","seneca lucius annaeus approximately 4 bc65 ad","100.0","100.0","100.0","0.0","0"
"statius p papinius","statius p papinius publius papinius","100.0","100.0","67.9245283018868","18.518782219289882",""
"tacitus cornelius","tacitus cornelius","100.0","100.0","100.0","0.0","0"
"tibullus","tibullus","100.0","100.0","100.0","0.0","0"
"vegetius renatus publius","vegetius renatus flavius","100.0","87.5","87.5","7.216878364870322",""
"velleius paterculus approximately 19 bcapproximately 30 ad","velleius paterculus","100.0","100.0","49.350649350649356","29.24241623168234",""
"velleius paterculus ca 19 bcca 30 ad","velleius paterculus","100.0","100.0","69.0909090909091","17.845371956770247",""
"jordan of saxony 1237","jordanes","75.0","48.275862068965516","48.275862068965516","15.429188228343449",""
"dietrich johann friedrich 1833","dietrich waldemar","100.0","64.0","46.808510638297875","27.14431139603529",""
"muhammad ibn umar alwakidi","razi abu bakr muhammad ibn zakariya 865925","100.0","63.1578947368421","55.88235294117647","23.65248757406926",""
"schmidt carl 18681938","schmidt paul wilhelm 18451921","100.0","60.0","60.0","23.09401076758503",""
"linne carl von 17071778","linne carl von 17071778","100.0","100.0","100.0","0.0","0"
"bianchi simon giovanni 16931775","simon johann georg approximately 16361696","100.0","52.77777777777778","52.77777777777778","27.263762711732326",""
"dante alighieri 12651321","dante alighieri 12651321","100.0","100.0","100.0","0.0","0"
"macer floridus","odo magdunensis","30.76923076923077","27.58620689655173","27.586206896551722","1.837719689728251","1"
"zwingli ulrich 14841531","zwingli ulrich 14841531","100.0","100.0","100.0","0.0","0"
"anselm saint archbishop of canterbury 10331109","anselm saint archbishop of canterbury","100.0","100.0","89.1566265060241","6.26042460567064",""
"paulus julius","paulus julius","100.0","100.0","100.0","0.0","0"
"augustine saint bishop of hippo","augustine of hippo saint 354430","100.0","87.27272727272728","77.41935483870968","11.320762307208982",""
"martial","martial","100.0","100.0","100.0","0.0","0"
"prudentius 348","prudentius 348","100.0","100.0","100.0","0.0","0"
"quintilian","quintilian","100.0","100.0","100.0","0.0","0"
"guarino veronese 13741460","guarino veronese 13741460","100.0","100.0","100.0","0.0","0"
"apuleius","apuleius","100.0","100.0","100.0","0.0","0"
"lucas christian theodor ludwig","lucas bishop of tuy approximately 1249","100.0","41.1764705882353","38.23529411764706","34.84187381160169",""
"herbert of bosham fl 11621186","herbert of bosham active 12th century","100.0","73.91304347826087","63.63636363636363","18.745903991391213",""
"luther martin 14831546","luther martin","100.0","100.0","74.28571428571429","14.846149779161802",""
"borovy klement 18381897","pseudoboethius","31.57894736842105","21.621621621621628","21.62162162162162","5.74886470032344","5"
"duns scotus john approximately 12661308","duns scotus john approximately 12661308","100.0","100.0","100.0","0.0","0"
"osorio jeronymo bishop of silves 15061580","hosius of cordoba","100.0","37.93103448275862","27.586206896551722","39.164885143450164",""
"assemani giuseppe luigi 17101782","asser john","50.0","23.80952380952381","23.809523809523814","15.12107847877591",""
"forcellini egidio 16881768","forcellini egidio 16881768","100.0","100.0","100.0","0.0","0"
"tertullian approximately 160approximately 230","tertullian","100.0","100.0","36.36363636363637","36.74047167570345",""
"milton john 16081674","milton john","100.0","100.0","70.96774193548387","16.76178200873107",""
"ordericus vitalis 10751143","ordericus vitalis","100.0","100.0","79.06976744186046","12.08407540164333",""
"ambrose saint bishop of milan 397","ambrose saint bishop of milan","100.0","100.0","93.5483870967742","3.724840446384675","3"
"lucan 3965","lucan","100.0","100.0","66.66666666666667","19.245008972987524",""
"seneca lucius annaeus approximately 55 bcapproximately 39 ad","seneca lucius annaeus approximately 55 bcapproximately 39 ad","100.0","100.0","100.0","0.0","0"
"grotius hugo 15831645","grotius hugo 15831645","100.0","100.0","100.0","0.0","0"
"abu alrabi sulayman ibn abd allah almuwahhid","avicenna 9801037","31.25","16.66666666666667","16.666666666666664","8.419691425682043",""
"freytag g w","frey joseph 18341910","45.45454545454546","32.25806451612904","32.25806451612904","7.618991822150486",""
"suetonius approximately 69approximately 122","suetonius approximately 69approximately 122","100.0","100.0","100.0","0.0","0"
"hupenden ludwig philipp","ludwig ernst 18451912","100.0","44.44444444444444","40.90909090909091","33.14275691332985",""
"muczkowski jozef 17951858","muczkowski antoni 18071852","100.0","70.58823529411765","70.58823529411764","16.980890270283112",""
"avitus alcimus ecdicius saint d 518","avitus saint bishop of vienne","100.0","58.53658536585366","46.875","27.920938831422536",""
"justinus marcus junianus","justinus marcus junianus","100.0","100.0","100.0","0.0","0"
"david von augsburg 1271","chytraeus david 15311600","100.0","51.06382978723404","51.06382978723405","28.25331104544977",""
"petrarca francesco 13041374","petrarca francesco","100.0","100.0","80.0","11.547005383792516",""
"keller friedrich ludwig von 17991860","keller otto 18381927","100.0","46.15384615384615","39.28571428571429","33.24856891451028",""
"balde jakob 16041668","balde jakob","100.0","100.0","70.96774193548387","16.76178200873107",""
"blois louis de 15061566","luis de granada 15041588","100.0","59.57446808510638","55.319148936170215","24.66005482370739",""
"pliny the younger","pliny the younger","100.0","100.0","100.0","0.0","0"
"madvig j n 18041886","madvig j n johan nikolai 18041886","100.0","100.0","73.07692307692308","15.544045708951462",""
"vlis christian jacob van der","vliet joannes van der 18471902","100.0","51.724137931034484","51.72413793103448","27.872081960878486",""
"jacob j f","jacob emile 18671953","100.0","71.42857142857143","48.275862068965516","25.90933205755315",""
"cyprian saint bishop of carthage","cyprian saint bishop of carthage","100.0","100.0","100.0","0.0","0"
"agassiz louis 18071873","agapetus i pope","50.0","37.83783783783784","37.83783783783784","7.021827598252205",""
"gregory saint bishop of tours 538594","gregory bishop of tours saint","100.0","100.0","89.23076923076923","6.217618283580588",""
"endlicher istvan laszlo 18041849","endt johannes","46.15384615384615","31.111111111111114","31.11111111111111","8.684927126271292",""
"rossbach august 18231898","rossbach august 18231898","100.0","100.0","100.0","0.0","0"
"moller karl rudolf 1885","scholl rudolf 18441893","100.0","62.22222222222222","44.44444444444444","28.37143407734157",""
"keil heinrich 18221894","keil heinrich 18221894","100.0","100.0","100.0","0.0","0"
"vel caspar ursinus 14931538","vel caspar ursinus 14931538","100.0","100.0","100.0","0.0","0"
"maratti giovanni francesco","julius marathus 1st century bc","42.307692307692314","39.285714285714285","39.28571428571429","1.7447398244741459","1"
"isho yabh iii patriarch of the nestorians 657 or 658","nestorius patriarch of constantinople","100.0","53.93258426966292","53.93258426966292","26.59703487278052",""
"hrotsvitha approximately 935approximately 975","hrotsvitha","100.0","100.0","36.36363636363637","36.74047167570345",""
"serenus sammonicus quintus","serenus sammonicus quintus","100.0","100.0","100.0","0.0","0"
"marcellus empiricus","marcellus empiricus","100.0","100.0","100.0","0.0","0"
"ulpianus domitius approximately 160228","ulpianus domitius","100.0","100.0","61.81818181818181","22.04428300542208",""
"firmicus maternus julius","firmicus maternus julius","100.0","100.0","100.0","0.0","0"
"varro marcus terentius","varro marcus terentius","100.0","100.0","100.0","0.0","0"
"vegetius renatus flavius","vegetius renatus flavius","100.0","100.0","100.0","0.0","0"
"vives juan luis 14921540","vives juan luis 14921540","100.0","100.0","100.0","0.0","0"
"glaeser friedrich classicist","glaser carl eduard","64.70588235294117","56.52173913043478","56.52173913043479","4.7251172926005145","4"
"muller lucian 18361898","muller lucian 18361898","100.0","100.0","100.0","0.0","0"
"andreas capellanus","andreas capellanus","100.0","100.0","100.0","0.0","0"
"gronovius joannes fredericus 16111671","gronovius joannes fredericus 16111671","100.0","100.0","100.0","0.0","0"
"tacticus cornelius","tacitus cornelius","100.0","91.42857142857143","91.42857142857143","4.948716593053934","4"
"moczynski p","muczkowski antoni 18071852","57.14285714285714","32.432432432432435","32.432432432432435","14.266570358353682",""
"ampelius lucius","ampelius lucius","100.0","100.0","100.0","0.0","0"
"friedlaender ludwig 18241909","friedlaender ludwig 18241909","100.0","100.0","100.0","0.0","0"
"sedulius scotus active 848860","sedulius scotus active 848860","100.0","100.0","100.0","0.0","0"
"stanko j","stanyhurst richard 15471618","62.5","28.57142857142857","28.57142857142857","19.588669847505162",""
"nemethy geza","nemethy geza 18651937","100.0","100.0","72.72727272727273","15.745916432444336",""
"albertano da brescia active 13th century","albertano da brescia active 13th century","100.0","100.0","100.0","0.0","0"
"keil henricus 18221894","keil heinrich 18221894","100.0","90.9090909090909","90.9090909090909","5.248638810814781","5"
"orosius paulus","orosius paulus","100.0","100.0","100.0","0.0","0"
"lambert von hersfeld 1088","lambert von hersfeld","100.0","100.0","88.88888888888889","6.415002990995844",""
"ruusbroec jan van 12931381","ruusbroec jan van 12931381","100.0","100.0","100.0","0.0","0"
"caesarius of heisterbach approximately 1180approximately 1240","caesarius of heisterbach approximately 1180approximately 1240","100.0","100.0","100.0","0.0","0"
"kholodniak i i 18571913","scholier pieter 15821635","47.61904761904761","48.888888888888886","46.808510638297875","1.0486054797751718","1"
"tomkowicz stanisaw","muczkowski antoni 18071852","54.54545454545454","40.90909090909091","40.90909090909091","7.872958216222168",""
"ammianus marcellinus","ammianus marcellinus","100.0","100.0","100.0","0.0","0"
"calvin jean 15091564","calvin jean 15091564","100.0","100.0","100.0","0.0","0"
"schimmelpfenning carolus adolphus","schermann theodor 18781922","32.55813953488372","23.728813559322035","23.728813559322038","5.097613728753494","5"
"pliny the younger the younger","pliny the younger","100.0","100.0","73.91304347826086","15.061311370164155",""
"moravia czechoslovakia soud zemsky","jerome of moravia active 12721304","100.0","38.80597014925373","38.80597014925373","35.33038960712636",""
"vega andreas de 14981549","vega garcilaso de la","100.0","54.54545454545455","50.0","27.648920592264634",""
"baconthorpe john 1346","baconthorpe john 1346","100.0","100.0","100.0","0.0","0"
"orsi roberto approximately 1496","orsisius saint","46.15384615384615","26.66666666666667","26.66666666666667","11.250928322669628",""
"william of malmesbury approximately 10901143","william of malmesbury","100.0","100.0","64.61538461538461","20.429317217479067",""
"cassian john approximately 360approximately 435","cassian john","100.0","100.0","40.67796610169492","34.24959224006255",""
"eugippius","eugippius","100.0","100.0","100.0","0.0","0"
"otto i bishop of freising 1158","otto i bishop of freising 1158","100.0","100.0","100.0","0.0","0"
"rabanus maurus archbishop of mainz 784856","rabanus maurus archbishop of mainz 784856","100.0","100.0","100.0","0.0","0"
"valturio roberto 14051475","valgius rufus c","46.666666666666664","35.0","35.0","6.735753140545632",""
"ekkehard iv approximately 980approximately 1060","ekkehard iv approximately 980approximately 1060","100.0","100.0","100.0","0.0","0"
"arias montano benito 15271598","montanus saint archbishop of toledo","52.17391304347826","40.625","40.625","6.667768054499753",""
"cardano girolamo 15011576","cardano girolamo 15011576","100.0","100.0","100.0","0.0","0"
"avitus saint bishop of vienne","avitus saint bishop of vienne","100.0","100.0","100.0","0.0","0"
"more thomas sir saint 14781535","more thomas saint","100.0","100.0","72.34042553191489","15.969262764819439",""
"alciati andrea 14921550","alciati andrea 14921550","100.0","100.0","100.0","0.0","0"
"bodin jean 15301596","bodin jean 15301596","100.0","100.0","100.0","0.0","0"
"patrizi francesco 14131494","patrizi francesco","100.0","100.0","79.06976744186046","12.08407540164333",""
"bude guillaume 14681540","bude guillaume 14681540","100.0","100.0","100.0","0.0","0"
"boxhorn marcus zuerius 16121653","boxhorn marcus zuerius 16121653","100.0","100.0","100.0","0.0","0"
"valeriano pierio 14771560","valeriano pierio 14771560","100.0","100.0","100.0","0.0","0"
"bellenden william d 1633","burchardus abbot of bellevaux 1163","47.61904761904761","41.37931034482759","41.379310344827594","3.6025139949434717","3"
"lactantius approximately 240approximately 320","lactantius","100.0","100.0","36.36363636363637","36.74047167570345",""
"conti natale 15201582","di natale francesco","100.0","50.0","50.0","28.867513459481287",""
"agrippa von nettesheim heinrich cornelius 14861535","agrippa von nettesheim heinrich cornelius 14861535","100.0","100.0","100.0","0.0","0"
"jerome saint 419 or 420","jerome saint 419 or 420","100.0","100.0","100.0","0.0","0"
"botero giovanni 15401617","bottoni bernardo 1266","53.65853658536586","48.888888888888886","48.88888888888889","2.7537573815006566","2"
"pignoria lorenzo 15711631","pigna giovan battista 15291575","47.36842105263158","43.63636363636363","43.63636363636364","2.154704353913438","2"
"campanella tommaso 15681639","campanella tommaso 15681639","100.0","100.0","100.0","0.0","0"
"hyginus c julius","hyginus c julius","100.0","100.0","100.0","0.0","0"
"hyginus","hyginus c julius","100.0","100.0","60.86956521739131","22.591967055246222",""
"bullinger heinrich 15041575","bullock henry 1526","61.111111111111114","53.333333333333336","53.333333333333336","4.49050209369709","4"
"cardona juan bautista","cardano girolamo 15011576","42.10526315789473","34.78260869565217","34.78260869565217","4.227736524958357","4"
"bocchi achille 14881562","boccaccio giovanni 13131375","44.99999999999999","40.0","40.0","2.8867513459481247","2"
"budel rene 1597","buder christian gottlieb 16931763","62.06896551724138","50.0","50.0","6.968020490219621",""
"bruni leonardo 13691444","bruni leonardo 13691444","100.0","100.0","100.0","0.0","0"
"cochlaeus johannes 14791552","cochlaeus johannes 14791552","100.0","100.0","100.0","0.0","0"
"gregory i pope approximately 540604","gregory i pope","100.0","100.0","57.14285714285714","24.743582965269677",""
"ivo saint bishop of chartres approximately 10401116","ivo saint bishop of chartres","100.0","100.0","70.88607594936708","16.808931887799236",""
"fabricius johann albert 16681736","fabricius johann albert 16681736","100.0","100.0","100.0","0.0","0"
"porta giambattista della approximately 15351615","bartolomeo fra 14721517","43.90243902439024","34.28571428571429","34.285714285714285","5.552218616597094","5"
"hanke martin 16331709","ranke friedrich 18821950","39.02439024390244","40.0","40.0","0.5632685553069524","0"
"baudouin francois 15201573","baudouin francois 15201573","100.0","100.0","100.0","0.0","0"
"bracciolini poggio 13801459","bracciolini poggio","100.0","100.0","80.0","11.547005383792516",""
"rhenanus beatus 14851547","rhenanus beatus 14851547","100.0","100.0","100.0","0.0","0"
"traber zacharias 16111679","trabea","83.33333333333334","38.70967741935484","38.70967741935484","25.763479754160723",""
"macrobius ambrosius aurelius theodosius","macrobius ambrosius aurelius theodosius","100.0","100.0","100.0","0.0","0"
"spreti desiderio","sperulo francesco active 15th16th century","50.0","28.070175438596493","28.07017543859649","12.661190113807582",""
"fenestella l 1452","fenestella active 1st century bc1st century ad","100.0","74.07407407407408","38.095238095238095","31.088126940451723",""
"la rue charles de 16431725","la rue charles de","100.0","100.0","79.06976744186046","12.08407540164333",""
"lipsius justus 15471606","lipsius justus 15471606","100.0","100.0","100.0","0.0","0"
"biondo flavio 13921463","biondo flavio 13921463","100.0","100.0","100.0","0.0","0"
"agustin antonio 15171586","agustin antonio 15171586","100.0","100.0","100.0","0.0","0"
"decembrio angelo approximately 14151462","decembrio angelo approximately 14151462","100.0","100.0","100.0","0.0","0"
"ricci matteo 15521610","ricci matteo 15521610","100.0","100.0","100.0","0.0","0"
"spinoza benedictus de 16321677","spinoza benedictus de","100.0","100.0","82.35294117647058","10.188534162169871",""
"verino ugolino 14381516","verino ugolino 14381516","100.0","100.0","100.0","0.0","0"
"giovio paolo 14831552","giovio paolo 14831552","100.0","100.0","100.0","0.0","0"
"caussin nicolas 15831651","caussin nicolas 15831651","100.0","100.0","100.0","0.0","0"
"augurelli giovanni aurelio approximately 14561524","augurelli giovanni aurelio approximately 14561524","100.0","100.0","100.0","0.0","0"
"salvian of marseilles approximately 400approximately 480","salvian of marseilles","100.0","100.0","54.54545454545454","26.243194054073903",""
"cesarini virginio 15951624","cesariano cesare 14831543","55.319148936170215","54.90196078431372","54.90196078431373","0.24086369177706668","0"
"vesalius andreas 15141564","vessereau jules 1863","55.00000000000001","48.888888888888886","48.88888888888889","3.528251645047717","3"
"sebastianus a matre dei active 17th century","brant sebastian 14581521","61.904761904761905","44.776119402985074","44.776119402985074","9.889226359253717",""
"becher johann joachim 16351682","bersmann gregor 15381611","47.61904761904761","44.44444444444444","44.44444444444444","1.8328579974273809","1"
"rondelet guillaume 15071566","rondet laurent 16171692","65.21739130434783","64.0","64.0","0.7028611972743282","0"
"salviani ippolito 15141572","salvian of marseilles","60.60606060606061","46.808510638297875","46.808510638297875","7.966019188045127",""
"porta giambattista della 15351615","bartolomeo fra 14721517","34.78260869565217","35.71428571428571","35.71428571428571","0.53790397750586","0"
"plemp c g","pliny the younger","36.36363636363637","23.07692307692308","23.076923076923073","7.671087492729296",""
"scheffer johannes 16211679","scheffer johannes reichard active approximately 1580","100.0","79.06976744186046","48.71794871794872","25.78486739181834",""
"mabillon jean 16321707","mambrun pierre de 16011661","48.78048780487805","41.666666666666664","41.666666666666664","4.1071665491131935","4"
"vico enea 15231567","vico giambattista","100.0","38.095238095238095","34.285714285714285","36.889653845577904",""
"passeri giovanni battista 16941780","passerat jean","72.0","38.297872340425535","38.297872340425535","19.45793247651845",""
"trigault nicolas 15771628","trigault nicolas 15771628","100.0","100.0","100.0","0.0","0"
"petrus de ebulo active 1196","petrus de ebulo active 1196","100.0","100.0","100.0","0.0","0"
"kirchmann johann 15751643","kirchhoff alfred 18381907","43.47826086956522","40.0","40.0","2.0081748493552207","2"
"biragus aloysius","birger gregersson archbishop of uppsala 13271383","50.0","31.25","31.25","10.825317547305483",""
"hrotsvitha ca 935ca 975","hrotsvitha","100.0","100.0","60.60606060606061","22.74410151353071",""
"ulpian","ulpianus domitius","100.0","52.17391304347826","52.17391304347826","27.61240417863428",""
"giraldus cambrensis 11461223","giraldus cambrensis","100.0","100.0","80.85106382978724","11.0556434525673",""
"vergil polydore 14701555","vergil polydore 14701555","100.0","100.0","100.0","0.0","0"
"hugo herman 15881629","hugo herman 15881629","100.0","100.0","100.0","0.0","0"
"nifo agostino approximately 14731545","nifo agostino approximately 14731545","100.0","100.0","100.0","0.0","0"
"tomasini giacomo filippo 15951655","tomaso da faenza active 12631289","39.34426229508197","36.92307692307692","36.92307692307693","1.397872026285097","1"
"aldrovandi ulisse 15221605","aldrovandi ulisse 15221605","100.0","100.0","100.0","0.0","0"
"alberti leon battista 14041472","alberti leon battista 14041472","100.0","100.0","100.0","0.0","0"
"sannazaro jacopo 14581530","sannazaro jacopo","100.0","100.0","78.04878048780488","12.673542494406421",""
"heeren a h l 17601842","heerkens gerard nicolaas 17261801","61.904761904761905","59.25925925925926","59.25925925925925","1.5273816645228215","1"
"fine oronce 14941555","orosius paulus","30.000000000000004","17.647058823529406","17.647058823529417","7.131973913518909",""
"ferrari giovanni battista 15841655","ferrari giovanni battista 15841655","100.0","100.0","100.0","0.0","0"
"angeli francesco maria 16321697","angeli pietro 15171596","100.0","49.056603773584904","49.056603773584904","29.41218352475452",""
"kelso abbey","kelsey francis w francis willey 18581927","54.54545454545454","27.906976744186053","23.529411764705888","16.78673327608976",""
"meli antonio 1528","mela pomponius","44.44444444444444","25.80645161290323","25.806451612903224","10.760650178444635",""
"brant sebastian 14581521","brant sebastian 14581521","100.0","100.0","100.0","0.0","0"
"rubens philippe 15741611","philippe de pretot etienneandre 17101787","100.0","50.0","50.0","28.867513459481287",""
"rosinus johannes 15511626","hrotsvitha","47.05882352941176","28.57142857142857","28.57142857142857","10.673702455606525",""
"mercuriale girolamo 15301606","john ii pope","33.333333333333336","20.0","19.999999999999996","7.698003589195013",""
"sigonio carlo 15241584","sigonio carlo 15241584","100.0","100.0","100.0","0.0","0"
"postel guillaume 15101581","postel guillaume 15101581","100.0","100.0","100.0","0.0","0"
"buno johannes 16171697","bunte bernhard 18211898","48.64864864864865","48.888888888888886","48.88888888888889","0.13870276737288098","0"
"upton nicholas 14001457","upton edward","100.0","58.8235294117647","40.0","30.68611789723864",""
"maggi giovanni 15661618","magliabechi antonio 16331714","62.22222222222222","54.90196078431372","54.90196078431373","4.226354911714907","4"
"meurs johannes van 15791639","meurs johannes van 15791639","100.0","100.0","100.0","0.0","0"
"bovio carlo 16141705","borino giovanni battista","38.888888888888886","31.818181818181813","31.818181818181824","4.082274630633716","4"
"peckham john 1292","peckham john 1292","100.0","100.0","100.0","0.0","0"
"ferrari francesco bernardino 15761669","ferrari giovanni battista 15841655","100.0","53.521126760563384","53.52112676056338","26.834589976419224",""
"agobard saint 769840","agobard saint","100.0","100.0","78.78787878787878","12.246823891901155",""
"cortesi paolo 14651510","cortesi paolo 14651510","100.0","100.0","100.0","0.0","0"
"murr christoph gottlieb von 17331811","muret marcantoine 15261585","46.15384615384615","41.935483870967744","41.93548387096774","2.435472599559216","2"
"widukind of corvey approximately 925approximately 973","widukind of corvey approximately 925approximately 973","100.0","100.0","100.0","0.0","0"
"taisnier jean 1508approximately 1562","taio of zaragoza","40.0","23.07692307692308","23.076923076923073","9.770543017055205",""
"benedetti giovanni battista 15301590","jacopone da todi 12301306","46.15384615384615","42.622950819672134","42.622950819672134","2.0385633716657634","2"
"worm ole 15881654","wowern johann van der 15741612","50.0","42.5531914893617","42.553191489361694","4.29941689822062","4"
"albino giovanni","albinus","83.33333333333334","45.45454545454545","45.45454545454546","21.86932837839492",""
"pithou pierre 15391596","pithou pierre 15391596","100.0","100.0","100.0","0.0","0"
"favilla petrus jacobus","fava guido approximately 1190approximately 1245","37.5","23.188405797101453","23.188405797101453","8.262802765576163",""
"schedel hartmann 14401514","melissus paulus 15391602","32.55813953488372","28.57142857142857","28.57142857142857","2.3017286479320647","2"
"alpini prosper 15531617","prosper of aquitaine saint","100.0","48.97959183673469","44.89795918367348","30.70281386774628",""
"cippico coriolano 14251493","coriolanus cnaeus marcius","54.054054054054056","39.21568627450981","39.21568627450981","8.566935631854543",""
"assemani giuseppe simone 16871768","asser john","50.0","32.55813953488372","32.55813953488372","10.070062834702775",""
"pufendorf samuel freiherr von 16321694","pufendorf samuel freiherr von 16321694","100.0","100.0","100.0","0.0","0"
"schott gaspar 16081666","schottus andreas 15521629","55.81395348837209","55.319148936170215","55.319148936170215","0.2856755414100061","0"
"fontanini giusto 16661736","fonte bartolommeo 14451513","35.89743589743589","31.372549019607845","31.372549019607842","2.612444656966628","2"
"fabricius georg 15161571","fabricius georg 15161571","100.0","100.0","100.0","0.0","0"
"sereno aurelio active 15121514","serenus sammonicus quintus","46.15384615384615","35.71428571428571","35.71428571428571","6.027283030001591",""
"lonicer philipp 1599","loeus joannes","38.46153846153846","30.303030303030297","30.303030303030297","4.710316881500446","4"
"nithard 844","nithard 844","100.0","100.0","100.0","0.0","0"
