author,dll_author_id
"Filelfo, Francesco, 1398-1481",A3020
"Sulpicia, active 1st century B.C.",A3028
Pentadius,A3026
"Chintila, King of the Visigoths, -640",A3022
"Aethelbald Mercia, -757",A3031
"Anselmi, Giorgio, 1722-1797",A3005
"Bonaiuto, da Casentino, -1312?",A3014
"Bonincontri, Lorenzo, 1410-1491",A3023
"Buonaccorsi, Filippo, 1437-1496",A3011
"Calcagnini, Celio, 1479-1541",A3019
"Cavalchini, Rinaldo",A3027
"Collenuccio, Pandolfo, 1444-1504",A3015
"Cortesi, Tommaso Alessandro",A3025
Crispus Mediolanensis c. 14. C.,A3013
"Crivellone, -approximately 1730",A3021
"Decembrio, Pier Candido, 1399-1477",A3030
"Guarini, Girolamo, 1421-1460",A3008
"Ramusio, Giovanni Battista, 1485-1557",A3007
"Crinito, Pietro, 1465-approximately 1504",A3034
"Di Meletto Rossi, Checco, 1320-1363",A3018
Vespa 2nd/4. century,A3054
Thomas of Celano 1190-1260,A3076
Hosidius Geta ca. 2nd century,A3051
Lollius Urbicus ca. 3rd century,A3057
Thomas Monumetensis ca. 1170,A3077
Acholius,A3052
Septimius,A3074
Lindinus Poeta 5th or 5th/6th century,A3055
Pardulus Laudunensis,A3053
"Merula, Giorgio, -1494",A3056
"Cantalicio, Giovanni Battista, -1515",A3033
"Foglietta, Uberto, 1518-1581",A3050
"Gambara, Lorenzo, approximately 1495-1585",A3073
"Tiberianus, c. 4th century A.D.",A3035
"Bologni, Girolamo, 1454-1517",A3036
"Bonvesin, da la Riva, approximately 1250-1314?",A3032
"Campano, Giannantonio, Bishop, 1429-1477",A3029
"Cavallo, Filippo",A3037
Drepanius Florus 5th century,A3094
"Aelius Paetus Catus, Sextus 2nd century?",A3093
Abbo Metensis ca. 627 - 643,A3060
Aelius Maurus ca. 2nd/3rd century,A3089
Caelestinus,A3047
"Endelechius, Severus Sanctus ca. 4./5th century",A3070
Octavianus,A3044
Gaius Sempronius Tuditanus,A3066
Aurelius Romulus,A3048
Gaius Drusus,A3045
Mavortius,A3068
"Actorius Naso, Marcus",A3043
"Jacopone, da Todi, 1230-1306",A3049
"Colle, Bartolomeo da",A3046
"Capitolinus, Julius, active 300",A3038
Agrestius,A3042
"Wamba, King of the Visigoths, -687",A3061
"Acilius Glabrio, Manius, approximately 55-95",A3041
"Campesani, Benvenuto ca. 1220/25-1323/24",A3039
"Della Casa, Giovanni, 1503-1556",A3040
"Theodosius, active 6th century",A3115
"Vestricius Spurinna, Titus ca. 1st century",A3085
Proterius Alexandrinus 454,A3079
"Dexter, Flavius Lucius 368-444",A3114
Bonosus Poeta 5th or 5th/6th century,A3083
Rusticus Presbyter 5th century,A3095
Tanusius Geminus 1st century?,A3080
Titius Aristo 1st/2nd century,A3086
Valens Mursiensis 430,A3084
Pompeius Planta 1st century,A3112
Trebellius Pollio ca. 3rd/4. century,A3091
Stephanus Abbas 4. or 6th century,A3062
"Haslob, Michael 1540-1589",A3096
"Rekared II. King of the Visigoths, King -621",A3081
Cornelius Capitolinus,A3097
Eucolpius ca. 3rd century,A3082
Rubellius Blandus,A3071
"Clodius Thrasea Paetus, Publius -66",A3075
"Catiline, approximately 108 B.C.-62 B.C.",A3072
"Pompilius, Paulus, 1454?-1491?",A3069
"Cassius Longinus, Gaius, active 54 B.C.-42 B.C.",A3116
"Chrestien, Florent, 1541-1596",A3133
"Lampridius, Aelius",A3117
"Sixtus II, Pope, -258",A3119
"Stigel, Johann, 1515-1562",A3104
"Tamayo de Vargas, Tomás, 1588-1641",A3107
Samuel Aniensis -1179,A3101
Fabius Rusticus,A3092
Bruttius,A3098
Aelius Iunius Cordus 3rd century,A3087
Calbulus Poeta 5th or 5th/6th century,A3102
Antoninus Honoratus 437,A3105
"Coruncanius, Tiberius 254?-243?",A3099
"Iunius Arulenus Rusticus, Quintus -93",A3090
Eucheria ca. 6th/7th century,A3088
Magnetes,A3103
Florentinus Poeta 5th or 5th/6th century,A3106
"Ampius Balbus, Titus 1st century?",A3100
Cato Africanus 5th century,A3078
Aemilius Parthenianus,A3110
"Madvig, J. N. (Johan Nikolai), 1804-1886",A3149
"Hansy, Théodore de, -1771",A3150
"Biel, Gabriel, -1495",A3151
"Alexander, of Tralles, approximately 525-approximately 605",A3120
"Cereta, Laura, 1469-1499",A3125
"Corbulo, Gnaeus Domitius, -67",A3123
"Galba, Servius Sulpicius, Emperor of Rome, 3 B.C.-69 A.D.",A3147
"Gentili, Scipione, 1563-1616",A3130
"Mark, Pope, -336",A3134
"Rufus, of Ephesus",A3122
"Scheffer, Johannes Reichard, active approximately 1580",A3132
"Sergius, the Grammarian, active 515-517",A3135
"Stephanus, de Borbone, -approximately 1261",A3128
Johannes Diaconus Romanus ca. 5th/6th century,A3113
Vipstanus Messalla 1st century,A3108
"Cosconius, Quintus 1st century?",A3111
"Felix, Flavius 5th or 5th/6th century",A3109
Avitus Bracarensis -440,A3131
"Decimator, Heinrich 1544-1615",A3118
"Alcimus Alethius, Latinus 355",A3127
"Kukuljević Sakcinski, Ivan, 1816-1889",A3174
"Grégoire, L. (Louis), 1819-1897",A3154
"Sanderson, Robert, 1660-1741",A3175
"Quentell, Heinrich, -1501",A3172
"Rački, Franjo, 1828-1894",A3155
"Archestratus, of Gela",A3161
"Georgius, of Cyprus, active 600",A3152
"Abercius, Saint, Bishop of Hierapolis, -approximately 200",A3156
"Paulus, Aegineta",A3153
"Porphyry, approximately 234-approximately 305",A3136
"Antonius, monk, disciple of Simeon Stylites, active 470",A3129
"Flavianus, Remmius",A3137
"Gaunilo, active 11th century",A3121
Hegemonius,A3143
"Lucian, of Antioch, Saint, -312",A3126
"Map, Walter, active 1200",A3140
"Melissus, Paulus, 1539-1602",A3124
"Plancus, Lucius Munatius",A3138
"Pompey, the Great, 106 B.C.-48 B.C.",A3148
"Scultetus, Tobias, 1563-1620",A3145
"Wesele Scholten, Benjamin Petrus van, 1762-1829",A3206
"Bonnell, Eduard, 1802-1877",A3203
"Richter, Gustav, 1838-1904",A3177
"Wunsch, Richard, 1869-1911",A3168
"Janssonius van Waesberge, Johannes, active 1642-1681",A3157
"Frédéricq, Paul, 1850-1920",A3173
"Mignault, Claude, approximately 1536-1606",A3158
"Clein, Johann, -1530",A3176
"Isaeus, approximately 420 B.C.-approximately 350 B.C.",A3195
"Marinus, active 5th century",A3162
"Nicephorus, Chartophylax",A3204
"Symeon, Metaphrastes, active 10th century",A3165
"Helenius Acro, active 2nd century",A3146
"Balbus, Lucius Cornelius",A3142
"Charlemagne, Emperor, 742-814",A3139
Petrus Referendarius 5th or 5th/6th century,A3144
"Aurunculeius Cotta, Lucius -v53",A3141
"Knöll, Pius",A3207
Horatius Romanus,A3205
"Pohlenz, M. (Max), 1872-1962",A3202
"Pausanias, active approximately 150-175",A3201
"Fickelscherer, Martin",A3198
"Lydus, Johannes Laurentius, 490-approximately 565",A3199
"Rossbach, Otto, 1858-1931",A3185
"Lapide, Cornelius Cornelii a, 1567-1637",A3183
"Beughem, Cornelis à, active 1678-1710",A3190
"Fierville, Ch. (Charles), 1833-",A3180
"Thomas, Antoine, 1644-1709",A3188
"Viñals Rubio, Marcos, 1812-1895",A3171
"Nys, Ernest, 1851-1920",A3178
"Bate, John Pawley, 1857-1921",A3186
"Wright, Herbert F. (Herbert Francis), 1892-1945",A3169
"Tonson, Jacob, 1656?-1736",A3182
"Rymer, Thomas, 1641-1713",A3189
"Souter, Alexander, 1873-1949",A3179
"Vosgien, 1709-1765",A3187
"Fonseca, Antonio, 1517-1559?",A3170
"Riley, Henry T. (Henry Thomas), 1816-1878",A3184
"Serenus, Antinoensis",A3181
"Callistratus, active 3rd century-4th century",A3193
"Bremer, F. P. (Franz Peter), 1832-",A3213
"Sáenz de Aguirre, José, 1630-1699",A3214
"Holmes, George, 1662-1749",A3215
"Caecilius, Calactinus",A3191
"Julian, Emperor of Rome, 331-363",A3192
"Andocides, approximately 440 B.C.-approximately 390 B.C.",A3194
"Drosihn, Friedrich, -1871",A3238
"Peerlkamp, Petrus Hofman, 1786-1865",A3237
"Olivieri, Alexander, 1872-1950",A3241
"Hannig, Franz, 1873-",A3200
"Hartman, J. J. (Jacobus Johannes), 1851-1924",A3210
"Holder, Alfred, 1840-1916",A3218
"Kirchhoff, Alfred, 1838-1907",A3196
"Philoponus, John, active 6th century",A3211
"Schubart, Johann Heinrich Christian, 1800-1885",A3197
"Seckel, Emil, 1864-1924",A3208
"Vermaat, Hendrik",A3216
"Larroumet, Gustave",A3227
"Schullian, Dorothy M. (Dorothy May), 1906-1989",A3212
"Funaioli, Gino, 1878-1958",A3209
"Stangl, Thomas, 1854-1921",A3247
"Helm, Rudolf, 1874-1964",A3231
"Mohr, Paul",A3263
"Alexander, of Lycopolis",A3245
"Brinkmann, August, 1863-1923",A3255
"Hippolytus, Antipope, approximately 170-235 or 236",A3243
"Wachtler, Hans",A3230
"Flemisch, Michael, 1873-",A3234
"Hultsch, Fridericus (Friedrich Otto), 1833-1906",A3226
"Koeberlin, Alfred",A3229
"Lang, Carl, 1841-",A3224
"Reichardt, Walther, 1869-",A3219
"Zilken, Franciscus, 1882-",A3225
"Funaioli, Gino, 1878-1958",A3235
"Leeuwen, J. van, Jr. (Jan van), 1850-1924",A3222
"Schwartz, Eduard, 1858-1940",A3220
"Krüger, G. T. A. (Georg Theodor August), 1793-1873",A3217
"Nauck, C. W. (Carl Wilhelm), 1813-",A3236
"Wyttenbach, Daniel Albert, 1746-1820",A3223
"Godis, Petrus de",A3221
"Wohlrab, Martin, 1834-1913",A3228
"Bake, John, 1787-1864",A3254
"Beck, J. W. (Jan Wibertus)",A3258
"Dombart, Bernhard, 1832-1907",A3257
"Cabrera, Cristóbal, approximately 1515-1598",A3256
"Hamaker, H. A. (Hendrik Arent), 1789-1835",A3251
"Müller, Moritz, 1816-1895",A3239
"Franchi de' Cavalieri, Pius, 1869-1960",A3267
"Hilka, Alfons, 1877-1939",A3277
"Köchly, Hermann, 1815-1876",A3233
"Kramer, Otto, 1887-",A3265
"Preisendanz, Karl, 1883-1968",A3248
"Schonack, Wilhelm, 1885-",A3232
"Türk, Gustav, 1854-1914",A3240
"Wachsmuth, Curt, 1837-1905",A3246
"Ziegler, Konrat, 1884-1974",A3268
"Carter, Jesse Benedict, 1872-1917",A3244
"Foss, Heinrich Eduard, 1805-1875",A3266
"Fritzsche, Theodor, 1838-1903",A3274
"Gelzer, Heinrich, 1847-1906",A3242
"Noel, François, 1651-1729",A3284
"Linacre, Thomas, 1460-1524",A3290
"Sayer, Gregory, 1560-1602",A3285
"Kemble, John Mitchell, 1807-1857",A3296
"Boor, Carl de 1848-1923",A3282
"Borino, Giovanni Battista",A3292
"Lebreton, Maria Magdalena",A3286
"Ruysschaert, José",A3283
"Simbeck, Karl, 1882-1944",A3294
"Bach, Johann Nicolaus, 1802-1841",A3262
"Boll, Franz, 1867-1924",A3260
"Cebes, Of Thebes",A3250
"Thilo, Georg, 1831-1893",A3259
"Halm, Karl, 1809-1882",A3261
"Klotz, Reinhold, 1807-1870",A3252
"Meister, Ferdinand Otto, 1828-1915",A3273
"Skutsch, Franz, 1865-1912",A3264
"Struve, K. L. (Karl Ludwig), 1785-1838",A3271
"Daremberg, Charles, 1817-1872",A3253
"Graux, Charles Henri, 1852-1882",A3249
"Ridder, André de, 1868-1921",A3325
"Torre, Diego de la",A3318
"Morla, Pedro Augusto",A3307
"Billerbeck, Julius, 1772-1838",A3279
"Boudot, Jean, -1706",A3287
"Rondet, Laurent, 1617?-1692",A3326
"Facciolati, Jacobo, 1682-1769",A3295
"Logus, Georgius, 1484?-1553",A3281
"George, of Trebizond, 1396-1486",A3280
"Lambin, Denys, 1520 or 1521-1572",A3288
"Bruto, Giovanni Michele, approximately 1515-1594",A3327
"Jahnke, Richard, 1868-1933",A3289
"Ludwig, Ernst, 1845-1912",A3297
"Beck, Jan-Wilhelm",A3298
"Boer, Ae.",A3275
"Geel, Jacob, 1789-1862",A3272
"Ofenloch, Ernest, 1884-",A3269
Homer,A3276
"Morawski, Kazimierz, 1852-1925",A3270
"Brandt, Samuel, 1848-",A3278
"Roberts, Charles, 1803-1897",A3302
"Vast, Henri, 1847-1921",A3311
"Latro, Marcus Porcius, 57 B.C.-4 B.C.",A3299
"Sander, Nicholas, 1530?-1581",A3308
"Bēssariōn, Cardinal, 1403-1472",A3305
"Rasario, Giovanni Battista, 1517-1578",A3303
"Byrom, John, 1692-1763",A3312
"Fejér, György, 1766-1851",A3300
"George, the Pisidian",A3306
"Gronovius, Jacobus, 1645-1716",A3314
"Landgraf, Gustav, 1857-1932",A3304
"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",A3313
"Nogara, Bartolomeo, 1868-1954",A3301
"Pelzer, Auguste, 1876-1958",A3310
"Fleckeisen, Alfred, 1820-1899",A3291
"Ziegler, Hermann Rudolf, 1851-",A3293
"Rubeis, Bernardo Maria de, 1687-1775",A3340
"Hurtado de Mendoza, Pedro, 1578-1651",A3364
"Hamman, A.-G. (Adalbert-G.), 1910-2000",A3346
"Allen, Helen Mary, 1878-1960",A3323
"Gercke, Alfred, 1860-1922",A3343
"Lindenbrog, Erpold, 1540-1616",A3341
"Lindsay, W. M. (Wallace Martin), 1858-1937",A3365
"Klose, Samuel Benjamin, 1730-1798",A3347
"Czinár, Mór Pál, 1787-1875",A3324
"Zipper, Gottfried",A3344
"Viñals Torrero, Francisco, 1863-1934",A3342
"González Téllez, Manuel, -1649",A3366
"Mantuani, Josef, 1860-1933",A3339
"Haraeus, Franciscus, 1555?-1631 or 1632",A3345
"Labottiere, Claude, 1653?-1713",A3336
"Aratus, Solensis",A3315
"Aelian, active 3rd century",A3309
"Demetrius Pepagomenus, active 1260",A3316
"Koch, Julius, 1866-",A3328
"Vessereau, Jules, 1863-",A3317
"Bartoszewicz, Julian",A3349
"Rzyszczewski, Leon",A3367
"Goelzer, Henri, 1853-1929",A3362
"Flower, Barbara",A3359
"Hermes, Emil, 1847-1911",A3350
"Gandoger, Michel, 1850-1926",A3363
"Schwarz, Ignaz, 1690-1763",A3360
"Bossozel, Guillaume",A3351
"Wessely, Carl, 1860-1931",A3348
"Cavelier, Guillaume, 1658?-1727?",A3361
"Bähr, Johann Christian Felix, 1798-1872",A3352
"Franco, Alvaro",A3332
"Forcellini, Egidio, 1688-1768",A3333
"Proclus, approximately 410-485",A3329
"Lacinio, Giano",A3337
"Wenzel, Gusztáv, 1812-1891",A3334
"Carusi, Enrico, 1878-1945",A3330
"La Ville de Mirmont, H. de (Henri), 1858-1924",A3338
"Maier, Anneliese, 1905-1971",A3335
"Vattasso, Marco, 1869-1925",A3331
"John Paul II, Pope, 1920-2005",A3380
"Nisard, D. (Désiré), 1806-1888",A3386
"Struve, Burkhard Gotthelf, 1671-1738",A3387
"Cuvier, Georges, baron, 1769-1832",A3385
"Migne, J.-P. (Jacques-Paul), 1800-1875",A3376
"Aleaume, Jean, active 15th century-16th century",A3356
"Díaz Tabernier, Federico, 1906-",A3373
"Garrod, H. W. (Heathcote William), 1878-1960",A3353
"Allen, P.S. (Percy Stafford), 1869-1933",A3370
"Hoffmann, Christian Gottfried, 1692-1735",A3377
"Fischer, Johann Baptist, -1832",A3357
"Cybulski, Stephan, 1858-1937",A3374
"Stenzel, Gustav Adolf Harald, 1792-1854",A3354
"Vigna, Raimondo Amedeo",A3371
"Keuchenius, Robertus, 1636-1673",A3369
"Monginot, Alfred",A3378
"Postgate, J.P. (John Percival), 1853-1926",A3358
"Premerstein, Anton von 1869-1935",A3375
"Karabacek, Josef, 1845-1918",A3355
"Hernández Morejón, Antonio, 1773-1836",A3372
"Innocent III, Pope, 1160 or 1161-1216",A3388
"Alexander, of Aphrodisias",A3394
"Ravizza, Giovita, 1476-1553",A3404
"Carrillo y Sotomayor, Luis, 1583?-1610",A3383
"Mousouros, Markos, approximately 1470-1517",A3401
"Egnazio, Giovanni Battista, approximately 1478-1553",A3389
"Atticus, Titus Pomponius",A3381
"Key, Thomas Hewitt, 1799-1875",A3398
"Parkoszowic, Jakub, active 1421-1460",A3405
"Radcliffe, John, keeper of the public library at Manchester",A3392
"Jones, Thomas, 1810-1875",A3384
"Buder, Christian Gottlieb, 1693-1763",A3402
"Ptolemy, active 2nd century",A3379
"Hardouin, Jean, 1646-1729",A3406
"Ram, P. F. X. (Pierre François Xavier de), 1804-1865",A3403
"Major, Carolus, -1766",A3390
"Walsingham, Thomas, active 1360-1420",A3382
"Gąsiorowski, Antoni",A3399
"Zakrzewski, Ignacy, 1823-1889",A3396
"Manlius, Christoph, 1546-1575",A3368
"Rossbach, August, 1823-1898",A3422
"Wendland, Paul, 1864-1915",A3419
"Antonius, M. (Marcus), 143 B.C.-87 B.C.",A3417
"Pompeius Rufus, Q. (Quintus), -88 B.C.",A3420
Saserna,A3400
"Manuzio, Paolo, 1512-1574",A3427
"Victorius, Marianus, approximately 1485-1572",A3407
"Vargas Mejía, Francisco, 1484-1560",A3415
"Theon, of Alexandria, active 364",A3413
"Parisetti, Lodovico",A3391
"Fascitelli, Onorato, 1502-1564",A3411
"Roth, Albrecht Wilhelm, 1757-1834",A3408
"Rabirio, Andreas, active 16th century",A3395
Modestus,A3425
"Greswell, William Parr, 1765-1854",A3414
"Meusel, Johann Georg, 1743-1820",A3409
"Ajasson de Grandsagne, 1802-1845",A3397
"Atkinson, J. C. (John Christopher), 1814-1900",A3393
"Dynter, Edmond de, -1449?",A3423
"Kruse, Fr. (Friedrich), 1790-1866",A3412
"Schmitt, Johann Christoph",A3440
"Schöll, Fritz, 1850-1919",A3416
"Stegmann, Carl",A3436
"Vollmer, Friedrich, 1867-1923",A3441
"Zachariä von Lingenthal, Karl Eduard, 1812-1894",A3438
Albinus,A3447
"Favorinus, active 104 B.C.?",A3445
"Africanus, Sextus Julius",A3442
Titius grammaticus,A3410
"Gazēs, Theodōros, approximately 1400-approximately 1475",A3424
"Asulanus, Franciscus, -1546",A3433
"Fortunatus, Matthaeus",A3430
"Fontana, Agostino",A3434
"Lemaire, N. E. (Nicolas Eloi), 1767-1832",A3426
"Wauquelin, Jean, -1452",A3432
"Piekosiński, Franciszek, 1844-1906",A3429
"Meiser, Karl, 1843-1912",A3421
"Müller, H. J.",A3439
"Müller, Moritz, 1854-",A3418
"Plasberg, Otto, 1869-1924",A3437
"Mendelssohn, Ludwig, 1852-1896",A3461
"Musonius Rufus, C. (Caius), approximately 30-",A3458
"Peiper, Rudolf, 1834-1898",A3446
Querolus,A3455
"Riese, Alexander, 1840-1922",A3465
"Roemer, Adolph",A3443
"Rose, Valentin, 1829-1916",A3452
"Roth, Karl Ludwig, 1790-1868",A3462
"Schneidewin, Friedrich Wilhelm, 1810-1856",A3449
"Schöne, Richard, 1840-1922",A3456
"Schroeder, Otto, 1851-1937",A3466
"Susemihl, Franz, 1826-1901",A3444
"Süss, Wilhelm, 1882-1969",A3453
"Weissenborn, Wilhelm, 1803-1878",A3450
"Wessner, Paul, 1870-1933",A3459
Gaius,A3454
"Naevius, iunior",A3451
"Gabuccini, Girolamo, active 16th century",A3435
"Lewis, Charlton T. (Charlton Thomas), 1834-1904",A3428
"Haller, Albrecht von 1708-1777",A3431
"Vahlen, Johannes, 1830-1911",A3463
"Vliet, Joannes van der, 1847-1902",A3473
"Herennius Balbus, L., active 56 B.C.-45 B.C.",A3457
Marcus Porcius Cato M.f.M.n.,A3475
"Quinctius, L., approximately 124 B.C.-approximately 51 B.C.",A3464
Titius,A3474
"Pompeius Rufus, Q., active 63 B.C.-51 B.C.",A3460
"Honorius, Julius",A3479
"Thessalus, of Tralles",A3482
"Heiberg, J. L. (Johan Ludvig), 1854-1928",A3480
"Hermann, Karl Friedrich, 1804-1855",A3488
"Hertz, Martin",A3478
"Jan, Ludwig von 1807-1869",A3483
